eng,gu,translation_text
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.","તે લાભાર્થીઓ અને ફરજ બજાવનારાઓની રીઅલ ટાઇમ હાજરીના દસ્તાવેજીકરણ દ્વારા, ડિલિવરી સિસ્ટમનું કાર્યક્ષમ ડિટ કરવાની ખાતરી આપે છે."," It ensures the efficient detonation of the delivery system, by documenting the real-time presence of beneficiaries and duty-payers."
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.","આવું મજબૂત ડિજિટલ ટેકનોલોજી પ્લેટફોર્મ અને મેનેજમેન્ટ ઇન્ફોર્મેશન સિસ્ટમ, અસરકારક રીતે સ્કેલ કરવામાં મિશનને મદદ કરશે, ત્યાં નોંધપાત્ર સકારાત્મક અસર ઉત્પન્ન અને દસ્તાવેજીકરણ કરશે.","eng platform digital technology and management information system, will help the mission to scale effectively, produce and document significant positive impact there."
Weight should be between 0.90 to 58,વજન 0.90 થી 58 વચ્ચે હોવી જોઈએ,eng be between 0.90 and 58 kg.
MPIN can be easily reset by any AWW/AWC user.,એમપિનને કોઈપણ વપરાશકર્તા જેમ કે આંગણવાડી કાર્યકર/ આંગણવાડી કેન્દ્રો દ્વારા સરળતાથી ફરીથી સેટ કરી શકાય છે., The mpin can be easily reset by any user such as ananganwadi worker/ananganwadi centers.
"You are required to click on Forgot MPIN, and enter your registered mobile number.",તમારે ફરગોટ એમપિન પર ક્લિક કરવાની જરૂર છે અને તમારો નોંધાયેલ મોબાઇલ નંબર દાખલ કરવો પડશે., You need to click on the Fergot emulator and enter your registered mobile number.
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,તમે તમારા નોંધાયેલા મોબાઈલ નંબર પર ઓટીપી પ્રાપ્ત થશે અને તમે તમારો એમપિન સરળતાથી ફરીથી સેટ કરી શકો છો., You will receive an OTPgu to your registered mobile number and you can easily reset your mpin.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,પોશન ટ્રેકર એ આંગણવાડી કાર્યકરને તેમના પ્રયત્નોના પ્રતિબિંબ સાથે સેવાઓની કાર્યક્ષમ વિતરણ માટે નોકરી-સહાય છે.,"engua Position Tracker helps an Anganwadi worker to deliver services efficiently, reflecting their efforts."
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,પોશાન અભિયાન હેઠળ તે એક મહત્વપૂર્ણ અને લાભાર્થી-કેન્દ્રિત સેવા વિતરણ એપ્લિકેશન છે જે વિશ્લેષણ સાથે વાસ્તવિક સમયના ડેટાને પ્રોત્સાહન આપશે," Under the Posan Campaign, it is an important and beneficiary-centric service delivery application that will promote real-time data with analysis."
Please enter valid Date of Birth,કૃપા કરીને માન્ય જન્મ તારીખ દાખલ કરો,"eng, silahkan masukan tanggal lahir yang valid"
Who is eligible for additional supplementary food?,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે?,eng.org Siapa yang layak untuk makanan tambahan?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","અમે તમને આવા ફેરફારો વિશે ખાસ જાણ કર્યા વિના કોઈપણ સમયે આ શરતોના કોઈપણ ભાગને બદલવા, સંશોધિત કરવા, ઉમેરવા અથવા દૂર કરવાનો બિનશરતી અધિકાર અનામત રાખીએ છીએ."," We reserve the unconditional right to change, modify, add or remove any part of these Terms at any time without specifically notifying you of such changes."
Any changes or updates will be effective immediately.,કોઈપણ ફેરફારો અથવા અપડેટ તરત જ અસરકારક રહેશે.,"eng.co.uk ""Any changes or updates will be effective immediately""."
You take the responsibility to check these Terms of Use periodically for changes.,તમે ફેરફારો માટે સમયાંતરે આ ઉપયોગની શરતો તપાસવાની જવાબદારી લો છો., You assume the responsibility of periodically checking these Terms of Use for changes.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,આવા પુનરાવર્તન પછી પ્લેટફોર્મનો તમારો સતત ઉપયોગ સંશોધિત શરતોની સ્વીકૃતિનું નિર્માણ કરશે., Your continued use of the platforms will build acceptance of the revised terms and conditions after such a review.
How many different types of reports can be generated over Poshan Tracker Dashboard?,પોષણ ટ્રેકર ડેશબોર્ડ પર કેટલા વિવિધ પ્રકારનાં અહેવાલો ઉત્પન્ન થઈ શકે છે?,engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
How to revive your health if you are Severely Wasted (SAM),જો તમે ગંભીર રીતે અશક્ત હોવ તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું (SAM)," ""How to Revive Your Health"" (SAM) if you are severely disabled"
"See assessment charts for Stunted, Wasted and Underweight parameters","સ્ટંટેડ, વેસ્ટેડ અને ઓછા વજનના પરિમાણો માટે આકારણી ચાર્ટ જુઓ","eng, gasta, and lightweight parameters see the assessment chart."
Resources for growth monitoring and general awareness,વૃદ્ધિનું નિરીક્ષણ અને સામાન્ય જાગૃત્તિ માટે સંશાધનો,eng.org Resources for growth monitoring and general awareness
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,"આંગણવાડી કાર્યકરોને, એક ચોક્કસ આંગણવાડી કેન્દ્રમાં હાજર માળખા સાથે સંબંધિત વિગતો દાખલ કરવી જરૂરી છે.",engwaddy workers are required to enter details related to the infrastructure present in a particular angangwaddy center.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","આમાં માળખું, પાયાની સુવિધાઓ, સગવડો, સ્વચ્છતા, પીવાનું પાણી વગેરે શામેલ છે.","eng, fasilitas dasar, fasilitas, kebersihan, air minum, dll."
Lactating mothers who received Take Home Ration (THR),ટેક હોમ રાશન (THR) મેળવનાર સ્તનપાન કરાવતી માતાઓ,eng moms who receive a tech home ration (THR)
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","Poshan Tracker આ પ્રાઇવસી પોલિસી ના કોઈપણ ભાગને કોઈપણ સમયે બદલવા, સંશોધિત કરવા, ઉમેરવા અથવા દૂર કરવાનો બિનશરતી અધિકાર અનામત રાખે છે, તમને આવા ફેરફારો વિશે ખાસ જાણ કર્યા વિના.","eng Tracker reserves the unconditional right to change, modify, add or remove any part of this Privacy Policy at any time, without notifying you specifically about such changes."
Any changes or updates will be effective immediately.,કોઈપણ ફેરફારો અથવા અપડેટ તરત જ અસરકારક રહેશે.,"eng.co.uk ""Any changes or updates will be effective immediately""."
You should review this Privacy Policy regularly for changes.,ફેરફારો માટે તમારે આ પ્રાઇવસી પોલિસી ની નિયમિત સમીક્ષા કરવી જોઈએ.,"engue.com - For changes, you should regularly review this Privacy Policy."
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","અમે સામાન્ય રીતે તમામ વપરાશકર્તાઓને આ પ્રાઇવસી પોલિસી માં કોઈપણ ભૌતિક ફેરફારોની સૂચના આપવા માટે વ્યાવસાયિક રીતે વાજબી પ્રયાસોનો ઉપયોગ કરીશું, જેમ કે સિસ્ટમ પરની સૂચના દ્વારા."," We will generally use commercially reasonable efforts to notify all users of any material changes to this Privacy Policy, such as through notification on the system."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","જો કે, સિસ્ટમના વપરાશકર્તા તરીકે, તમારે કોઈપણ ફેરફારો માટે નિયમિતપણે પ્રાઇવસી પોલિસી તપાસવી જોઈએ.","eng, sebagai pengguna sistem, anda harus secara teratur memeriksa kebijakan privasi untuk perubahan apapun."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","અમે આ પ્રાઇવસી પોલિસી ની ટોચ પર ""છેલ્લી અપડેટ કરેલ"" તારીખને પણ અપડેટ કરીશું, જે આ પ્રાઇવસી પોલિસી ની અસરકારક તારીખને પ્રતિબિંબિત કરે છે."," We will also update the ""last updated"" date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,નવી પ્રાઇવસી પોલિસી ની તારીખ પછી સિસ્ટમની તમારી સતત ઍક્સેસ અથવા ઉપયોગ નવી પ્રાઇવસી પોલિસી ની તમારી સ્વીકૃતિની રચના કરે છે.,engue Your continued access to or use of the system after the date of the new privacy policy constitutes your acceptance of the new privacy policy.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","જો તમે નવી પ્રાઇવસી પોલિસી સાથે સંમત ન હોવ, તો તમારે સિસ્ટમને ઍક્સેસ કરવાનું અને/અથવા ઉપયોગ કરવાનું બંધ કરવું પડશે.","eng.co.uk - If you do not agree with the new privacy policy, you will have to stop accessing and/or using the system."
What is the eligibility of a beneficiary?,લાભાર્થીની લાયકાત શું છે?,eng.co.id - Kepiye kualifikasi penerima?
"No, Poshan Tracker is available only for Android version","ના, પોષણ ટ્રેકર ફક્ત એન્ડ્રોઇડ સંસ્કરણ માટે ઉપલબ્ધ છે.","eng, Nutrition Tracker is only available for Android version."
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ક્ષતિપૂર્તિ અને જવાબદારીની મર્યાદા,eng.XV.Refundance and Limitation of Liability
Growth monitoring report for all health indicators,તમામ સ્વાસ્થ્ય નિર્દેશાંકો માટે વૃદ્ધિને લગતા અહેવાલનું નિરીક્ષણ,eng monitoring of growth report for all health guidelines
Take Home Ration (THR) given in last 30 days,પાછલા 30 દિવસમા દેવામા આવેલ ઘરે લઇ જવા માટેનો સીધુંસામાન (THR), Direct luggage (THR) for transportation to a home where the debtor has been in debt for the past 30 days.
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,જો બાળકોની ઉંચાઈ ડબ્લ્યુએચઓ ચાઈલ્ડ ગ્રોથ સ્ટાન્ડર્ડના મધ્યકથી બે પ્રમાણભૂત વિચલનો કરતાં વધુ હોય તો તેમને સ્ટંટેડ તરીકે વ્યાખ્યાયિત કરવામાં આવે છે," ""If children's height exceeds two standard deviations from the mean of the WHO Child Growth Standard, they are defined as stunted""."
What is the purpose of Launching Poshan Tracker?,પોશણ ટ્રેકર શરૂ કરવાનો હેતુ શું છે?,eng.co.id - Aiming for a nutrition tracker? - Aiming for a nutrition tracker? - Aiming for a nutrition tracker? - Aiming for a nutrition tracker? - Aiming for a nutrition tracker?
"As a registered user, you have the right to access your profile at any time.","નોંધાયેલ વપરાશકર્તા તરીકે, તમને કોઈપણ સમયે તમારી પ્રોફાઇલને ઍક્સેસ કરવાનો અધિકાર છે.","engut pemakai terdaftar, anda berhak mengakses profil anda kapan saja."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","તેમ છતાં, ફેરફારો ફક્ત પોશન ટ્રેકર સિસ્ટમ દ્વારા સમયાંતરે સૂચવ્યા મુજબ જ કરી શકાય છે.","eng, perubahan hanya bisa dilakukan sesuai dengan ketentuan sistem pengesan posisi dari waktu ke waktu."
You cannot manage the communications that you receive from us or how you receive them.,તમે અમારી પાસેથી મેળવેલા સંદેશાવ્યવહારને અથવા તમે તેને કેવી રીતે પ્રાપ્ત કરો છો તેનું સંચાલન કરી શકતા નથી., We cannot control the communications you receive from us or how you receive them.
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. કાયદાનું પાલન, તૃતીય પક્ષના અધિકારો અને સેવાની અન્ય શરતો","eng. XIII. Kepatuhan dengan hukum, hak-hak pihak ketiga, dan syarat-syarat layanan lainnya."
"repeated infection, and inadequate psychosocial stimulation","પુનરાવર્તિત ચેપ, અને અપૂરતી મનો-સામાજિક ઉત્તેજના","eng infektion, and insufficient psycho-social excitement."
Beneficiary migration from one AWC to another AWC,લાભાર્થી એક AWCથી અન્ય AWCમાં સ્થળાંતરણ,engemudisi migrasio de una AWC a otra AWC
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","પોશણ અભિયાન હેઠળ આઈસીટી પ્લેટફોર્મ પર તાલીમ (02 ફેબ્રુઆરી, 2021)",eng training on the ICT platform under the Nutrition Campaign (02 February 2021)
You may browse the Site without registering for an account.,તમે એકાઉન્ટ માટે નોંધણી કર્યા વિના સાઇટ બ્રાઉઝ કરી શકો છો.,eng.co.uk - You can browse our site without registering for an account.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","જો તમે સાઇટ દ્વારા ઓફર કરવામાં આવતી અમુક સુવિધાઓ અથવા સેવાઓનો ઉપયોગ કરવાનો ઇરાદો ધરાવો છો, તો તમારે તમારા મોબાઇલ નંબર સાથે એકાઉન્ટ માટે નોંધણી કરાવવાની જરૂર પડશે."," If you intend to use certain features or services offered by the site, you will need to register for an account with your mobile number."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,તમારી અંગત માહિતી અને નોંધણીની પ્રાઇવસી જાળવવા અને આ માહિતીને સુરક્ષિત રાખવામાં તમે નિષ્ફળ જવાથી પરિણમી શકે તેવી તમામ પ્રવૃત્તિઓ માટે તમે સંપૂર્ણપણે જવાબદાર છો.,eng.co.uk: You are solely responsible for all activities that may result from your failure to maintain the confidentiality of your personal information and registration and to protect this information.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,તમારું રજીસ્ટ્રેશન અથવા મોબાઈલ નંબર ગુપ્ત રાખવામાં આવશેતમે તે લો છોઃતમે તમારા એકાઉન્ટ દ્વારા તેમના રેકોર્ડ બનાવવા માટે સંબંધિત વ્યક્તિઓ પાસેથી સંમતિ મેળવી છે.,engku pendaftaran atau nomor hp anda akan dirahasiakan anda ambil: anda telah memperoleh persetujuan dari orang yang berhubungan untuk membuat catatan mereka melalui akun anda.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,તમારા એકાઉન્ટ અથવા મોબાઇલ નંબરમાં તે વ્યક્તિનો ઢોંગ કરવાના ઉદ્દેશ્ય સાથે અન્ય વ્યક્તિનું નામ શામેલ હોવું જોઈએ નહીં., Your account or mobile number should not contain another person's name with the intent to fake that person.
You shall not use another user's account without their permission.,તમે અન્ય વપરાશકર્તાના એકાઉન્ટનો તેમની પરવાનગી વિના ઉપયોગ કરશો નહીં., You will not use another user's account without their permission.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.",જો તમને તમારા એકાઉન્ટનો કોઈપણ અનધિકૃત ઉપયોગ અથવા અન્ય એકાઉન્ટ-સંબંધિત સુરક્ષા ભંગ જણાય તો તમે અમને તરત જ લેખિતમાં જાણ કરશો.,"eng.co.uk - If you notice any unauthorized use of your account or other account-related security breach, you will immediately notify us in writing."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","જો અમને ફરિયાદ મળે છે કે તમારું એકાઉન્ટ કોઈ બીજાના અધિકારોનું ઉલ્લંઘન કરે છે, અથવા અમારી નીતિઓનું ઉલ્લંઘન કરે છે, તો અમે તમારું એકાઉન્ટ રદ અથવા અવરોધિત કરી શકીએ છીએ.","eng.co.uk - If we receive a complaint that your account is violating someone else's rights, or violates our policies, we may cancel or block your account."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",સાઇટ પર સહભાગીઓની નોંધણી કરવા માટે તમે બહુવિધ ઇન્ટરનેટ પ્રોટોકોલ સરનામાં અથવા મોબાઇલ નંબરનો ઉપયોગ કરીને અથવા અન્ય કોઈપણ માધ્યમથી તમારી ઓળખ છુપાવવાનો પ્રયાસ કરશો નહીં, Do not attempt to hide your identity using multiple Internet protocol addresses or mobile numbers or by any other means to register participants on the site.
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,પોષણ ટ્રેકર એપ્લિકેશન 22 વિવિધ ભાષાઓમાં ઉપલબ્ધ છે.ઉપલબ્ધ વિવિધ ભાષાઓ છેઃઅંગ્રેજીહિન્દીગુજરાતીપંજાબીમરાઠીબાંગ્લાકન્નડતમિળતેલુગુમલયાલમઓડિયાઆસામીNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,englishhindigujrathipangjabimarathibanglakannadatamillatteligumalayalamoodiyaasamiNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","સૂચિત સિસ્ટમમાં બધા એડબ્લ્યુસી, એડબ્લ્યુડબ્લ્યુ અને લાભાર્થીઓને નિર્ધારિત સૂચકાંકો પર રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગને સક્ષમ બનાવવું જોઈએ.","eng system should enable real-time monitoring and tracking of all AWS, AWS and beneficiaries on specified indicators."
How to Login in Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનમાં પ્રવેશ કરો કેવી રીતે કરવું?,eng Nutrition Tracker app Login How to do it?
Height and weight of child has not been measured,બાળકની ઊંચાઈ અને વજન માપવામાં આવ્યું નથી,engekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekokekok
TAKE HOME RATION (THR) GIVEN TODAY,આજે દેવામા આવેલ ઘરે લઇ જવા માટેનો સીધુંસામાન (THR),enggo direct luggage (THR) to take home today
A beneficiary is eligible for THR for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે THR માટે પાત્ર છે.,eng.org - A beneficiary is eligible for THR for at least 21 days per month.
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. શરતોમાં ભાવિ ફેરફારો અંગેની સૂચનાઃ,eng. iii. pemberitahuan tentang perubahan masa depan dalam kondisi:
Planning And Organising Community Based Events At AWC,AWC ખાતે સમુદાય આધારિત કાર્યક્રમોનું આયોજન, AguWC hosts community-based events at AguWC.
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker., Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.com/
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,eng-Step 2-Ketikkan Nomor Ponsel terdaftar dan pra-setkan MPIN 4 digit.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,જો આંગણવાડી કાર્યકરો તેમના મોબાઇલ નંબર દ્વારા નોંધણી કરવામાં અસમર્થ હોય તો એપ્લિકેશન પર કેવી રીતે સાઇન અપ કરી શકે છે?,engwaddy workers can't register using their mobile number. how can angangwaddy workers sign up to an app?
Poshan Tracker adds new Reports feature,પોષણ ટ્રેકરે નવા અહેવાલોની વિશેષતા ઉમેરી,eng nutrition tracker added new reporting feature
General Awareness about preventing illness in Children,બાળકોમાં બિમારી અટકાવવા અંગે સામાન્ય જાગૃતિ,engekerjaan umum kesadaran tentang pencegahan penyakit pada anak-anak
2. HOW WE USE PERSONAL INFORMATION,2. અમે વ્યક્તિગત માહિતીનો ઉપયોગ કેવી રીતે કરીએ છીએ,eng.gu - How do we use personal information?
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","eng: The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","eng, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,કૃપા કરીને તમારો મોબાઈલ નંબર અને ટિકિટ નંબર આપો., Please provide your mobile number and ticket number.
Please contact your respective Anganwadi worker.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કાર્યકરનો સંપર્ક કરો.,"eng, mangga hubungi pekerja Anganwadi yang relevan."
SAM Children under 5 years who received Supplementary Nutrition,SAM 5 વર્ષથી ઓછી ઉંમરના બાળકો જેમણે પૂરક પોષણ મેળવ્યું હતું, SAMgu children under 5 years of age who received supplemental nutrition
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1પેન્ટાવેલેન્ટ-1રોટાવાયરસ રસી (RVV)-1નિષ્ક્રિય પોલિયો રસી (fIPV)-1 ની અપૂર્ણાંક માત્રાન્યુમોકોકલ કોન્જુગેટ વેક્સિન (PCV)-1, OPV-1Pentavelant-1Rotavirus Vaccine (RVV)-1FIPV-1A partial dose of passive polio vaccine (fIPV)-1Nucleocal conjugate vaccine (PCV)-1
Height should be between 38 to 150,ઊંચાઈ 38 થી 150 વચ્ચે હોવી જોઈએ,eng must be between 38 and 150 in height.
How to contact Poshan Tracker Team?,પોષણ ટ્રેકર ટીમનો સંપર્ક કેવી રીતે કરવો?,engekerjaantimper nutrient tracker
Take Home Ration (THR) Given Today,આજે દેવામા આવેલ ઘરે લઇ જવા માટેનો સીધુંસામાન (THR),enggo direct luggage (THR) to take home today
How many different forms are there in Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનમાં કેટલા વિવિધ ફોર્મ આપેલા છે?,eng form di mana yang ada di aplikasi nutrition tracker?
There are 7 different types of forms for beneficiaries.,લાભાર્થીઓ માટે 7 વિવિધ પ્રકારનાં ફોર્મ છે.,engguna ada 7 macam bentuk untuk pemohon.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),જેમાં શામેલ છેઃસ્તનપાન કરાવતી માતાસગર્ભા સ્ત્રીઓબાળક 0-6 મહિનાબાળક 6 મહિનાથી 3 વર્ષબાળક 3 વર્ષથી 6 વર્ષકિશોરવયની છોકરીઓ (11 વર્ષ -19 વર્ષ),eng:Septi-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-sopti-s
Shibpur I C D S Project,શિબપુર આઈસીડીએસ પ્રોજેક્ટ,eng Shippur ICDS project
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home",તાજેતરમાં એકથી ત્રણ મહિનામાં કોઈ આંગણવાડી કાર્યકર્તાએ લાભાર્થીના ઘરની મુલાકાત લીધી નથી,"engwadg.com - In recent months, no Anganwadi worker has visited a beneficiary's home."
Please enter Weight greater than 0.49 and less than 40.01,કૃપા કરીને 0.89 કરતાં વધુ અને 58.01 કરતાં ઓછું વજન દાખલ કરો,"eng, silahkan masukan berat badan lebih dari 0,89 dan kurang dari 58,01"
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker., You can register with your mobile number directly through the website https://guposhantracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,eng in or by downloading the Posguhan Tracker App.
Calculator to measure the child growth based on the WHO Child Growth Standards,WHO ચાઇલ્ડ ગ્રોથ સ્ટાન્ડર્ડ્સના આધારે બાળકની વૃદ્ધિને માપવા માટે કેલ્ક્યુલેટર,eng calculator untuk mengukur pertumbuhan bayi berdasarkan WHO Child Growth Standards
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"એમપિન એ 4 અંકનો પાસકોડ છે, જે પોષણ ટ્રેકર એપ પર નોંધણી કરતી વખતે આંગણવાડી કાર્યકર દ્વારા સેટ કરવામાં આવે છે.","engue mpin is a 4-digit passcode, which is set by an anganwadi worker when registering on the nutrition tracker app."
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)","સ્માર્ટ ફોન અને તકનીકી સુસંગતતા પરીક્ષણની વિશિષ્ટતાઓ (02 ફેબ્રુઆરી, 2021)",eng smartphone and technical compatibility test specifications (02 February 2021)
Request for child's height and weight measurement,બાળકની ઊંચાઈ અને વજન માપવા માટે વિનંતી,eng: Agiatan untuk mengukur ketinggian dan berat bayi.
Children (6 months - 3 years),બાળકો (6 મહિના-3 વર્ષ),enganak (6 bulan-3 tahun)
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","જ્યારે તમે અમારી સાઇટ્સ, એપ્લિકેશન અને પ્લેટફોર્મ ટેકનોલોજી સહિત અમારી સેવાઓની મુલાકાત લો છો અથવા અન્યથા ઉપયોગ કરો છો ત્યારે અમે વપરાશ ડેટાને લૉગ કરીએ છીએ."," When you visit or otherwise use our services, including our sites, apps and platform technologies, we log usage data."
"Result couldn't be fetch, please enter valid data","પરિણામ મેળવી શકાયું નથી, કૃપા કરીને માન્ય ડેટા દાખલ કરો","eng.co.id ""Reseult"" failed, please enter valid data"""
Central Golaghat I. C. D. S. Project,સેન્ટ્રલ ગોલઘાટ આઈ. સી. ડી. એસ પ્રોજેક્ટ,eng Central Golgotha ICDSgu Project
