eng,te,indic_trans_translated
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,"మహిళా, శిశు అభివృద్ధి మంత్రిత్వ శాఖ పోషన్ ట్రాకర్ దరఖాస్తును రూపొందించింది.",Ministry of Women and Child Development has formulated the POSHAN Tracker Application
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.","తల్లి మరియు పిల్లల పోషకాహారలోపాన్ని మెరుగుపరిచేందుకు పోషకాహార వ్యవస్థలను బలోపేతం చేసే విధానం, అన్ని స్థాయిలలో అమలు అడ్డంకులను బలోపేతం చేయడంపై దృష్టి పెట్టడం దీని లక్ష్యం.",The goal is to focus on strengthening nutrition systems and strengthening implementation bottlenecks at all levels to improve maternal and child nutrition.
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.","పోషన్ ట్రాకర్ కేంద్రీకృత డేటా ఆర్కిటెక్చర్ ఉపయోగించి నిర్మించబడింది, ఇది ఇతర మంత్రిత్వ శాఖలు మరియు కార్యక్రమాల డిజిటల్ టెక్నాలజీ వ్యవస్థలతో కూడా సర్దుబాటు చేస్తుంది.",The POSHAN tracker is built using centralized data architecture which also integrates digital technology systems of other ministries and programs.
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.",ఈ వ్యవస్థ ప్రతి లబ్ధిదారునికి డిజిటల్ కార్డు ద్వారా డిజిటల్ గుర్తింపును అందిస్తుంది మరియు కాల్ సెంటర్ను టెక్నాలజీ ప్లాట్ఫామ్తో కలపడానికి అనుమతిస్తుంది.,The system provides digital identity to each beneficiary through digital card and allows call centre to be integrated with technology platform.
The system generates automated alerts to the critical last-mile beneficiaries.,చివరి మైలు లబ్ధిదారులకు సిస్టమ్ స్వయంచాలక హెచ్చరికలను ఉత్పత్తి చేస్తుంది.,The system will generate automated alerts for the last mile beneficiaries
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.",ఇది లబ్ధిదారులు మరియు విధి బేరర్ల యొక్క నిజ సమయ హాజరును నమోదు చేయడం ద్వారా డెలివరీ వ్యవస్థ యొక్క సమర్థవంతమైన ఆడిట్ను నిర్ధారిస్తుంది.,This ensures an effective audit of the delivery system by recording the real time attendance of the beneficiaries and the stakeholders
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.","ఇటువంటి బలమైన డిజిటల్ టెక్నాలజీ ప్లాట్ఫాం మరియు మేనేజ్మెంట్ ఇన్ఫర్మేషన్ సిస్టమ్, మిషన్ను సమర్థవంతంగా కొలవడానికి సహాయపడుతుంది, తద్వారా గణనీయమైన సానుకూల ప్రభావాన్ని ఉత్పత్తి చేస్తుంది మరియు డాక్యుమెంట్ చేస్తుంది.","Such a strong digital technology platform and management information system will help to effectively measure the mission, thereby producing and documenting a substantial positive impact"
Weight should be between 0.90 to 58,బరువు 0.90 నుండి 58 మధ్య ఉండాలి,Weight should be in the range of 0.90 to 58
We own the intellectual property rights in the Site and Content.,సైట్ మరియు కంటెంట్ లో మేధో సంపత్తి హక్కులను మేం స్వంతం చేసుకున్నాం.,We have also acquired intellectual property rights on the site and the content.
We may change the Content and features of the Site at any time.,మేము ఏ సమయంలోనైనా సైట్ యొక్క కంటెంట్ మరియు ఫీచర్లను మార్చవచ్చు.,We can change the content and features of the site at any time.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.","సైట్ పై ప్రదర్శించబడే రిజిస్టర్డ్ మరియు రిజిస్టర్ కాని ట్రేడ్ మార్క్ లు, లోగోలు మరియు సర్వీస్ మార్క్ లు మా లేదా మా లైసెన్సర్ ల స్వంతం.","The registered and unregistered trademarks, logos and service marks displayed on the site belong to us or our licensees."
"You may not use our trademarks, logos, and service marks in any way without our prior written permission.","మా ముందస్తు రాతపూర్వక అనుమతి లేకుండా మీరు మా ట్రేడ్ మార్క్ లు, లోగోలు మరియు సర్వీస్ మార్క్ లను ఏవిధంగానూ ఉపయోగించరాదు.","You should not use our trademarks, logos and service marks in any way without our prior written permission."
Material featured on this website may be reproduced free of charge.,ఈ వెబ్ సైట్ లో ఫీచర్ చేయబడ్డ మెటీరియల్ ని ఉచితంగా పునరుత్పత్తి చేయవచ్చు.,The material featured on this website can be reproduced free of cost.
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.","ఎక్కడైతే ఆ సమాచార౦ ప్రచురి౦చబడుతు౦దో, లేదా ఇతరులకు అ౦ది౦చబడుతు౦దో అక్కడ మూల౦ ప్రముఖ౦గా అ౦గీకరి౦చబడాలి.","Where the information is published, or delivered to others, the source should be prominently acknowledged."
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","అయితే, ఈ మెటీరియల్ ని పునరుత్పత్తి చేయడానికి అనుమతి తృతీయపక్షం యొక్క కాపీరైట్ గా గుర్తించబడ్డ ఏదైనా మెటీరియల్ కు విస్తరించబడదు.","However, permission to reproduce this material shall not extend to any material which is recognised as a copyright of a third party."
MPIN can be easily reset by any AWW/AWC user.,MPIN ను ఏ AWW / AWC వినియోగదారుడైనా సులభంగా రీసెట్ చేయవచ్చు.,MPIN can be easily reset by any AWW / AWC user
"You are required to click on Forgot MPIN, and enter your registered mobile number.","మీరు forgot MPIN పై క్లిక్ చేసి, మీ నమోదిత మొబైల్ నంబర్ను నమోదు చేయవలసి ఉంటుంది.",Click on 'Forgot MPIN' and enter your registered mobile number
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,మీరు మీ రిజిస్టర్డ్ మొబైల్ నంబర్పై OTP పొందుతారు మరియు మీరు మీ MPIN ని సులభంగా రీసెట్ చేయవచ్చు,You will receive an OTP on your registered mobile number and you can easily reset your MPIN
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,పోషణ్ ట్రాకర్ అనేది అంగన్ వాడీ వర్కర్ యొక్క ప్రయత్నాలను ప్రతిబింబించడంతో పాటుగా సేవలను సమర్థవంతంగా అందించడం కొరకు ఉద్యోగ సాయంగా పనిచేస్తుంది.,POSHAN tracker is a reflection of the efforts of the Anganwadi worker and also acts as a job support for effective delivery of services.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,"ఇది పోషణ్ అభియాన్ కింద ఒక క్లిష్టమైన మరియు లబ్ధి కేంద్రిత సర్వీస్ డెలివరీ అప్లికేషన్, ఇది విశ్లేషణలతో రియల్ టైమ్ డేటాను ప్రోత్సహిస్తుంది","It is a critical and beneficiary oriented service delivery application under POSHAN Abhiyaan, which promotes real time data with analytics"
Please enter valid Date of Birth,దయచేసి సరైన పుట్టిన తేదీని నమోదు చేయండి,Please enter the correct date of birth
Who is eligible for additional supplementary food?,అదనపు అనుబంధ ఆహారానికి ఎవరు అర్హులు?,Who are eligible for additional supplements?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","అటువంటి మార్పుల గురించి మీకు ప్రత్యేకంగా తెలియజేయకుండానే, ఏ సమయంలోనైనా ఈ నిబంధనల్లోని ఏదైనా భాగాన్ని మార్చడానికి, సవరించడానికి, జోడించడానికి లేదా తొలగించడానికి బేషరతుగా మాకు హక్కు దఖలు పడి ఉంటుంది.","Without specifically informing you about such changes, at any point of time we are unconditionally entitled to change, amend, add or delete any part of these rules."
Any changes or updates will be effective immediately.,ఏవైనా మార్పులు లేదా నవీకరణలు వెంటనే అమల్లోకి వస్తాయి.,Any changes or updates shall come into effect immediately.
You take the responsibility to check these Terms of Use periodically for changes.,మార్పుల కొరకు నియతానుసారంగా ఈ ఉపయోగ నిబంధనలను తనిఖీ చేసే బాధ్యతను మీరు తీసుకుంటారు.,You will be responsible for checking these Terms of Use on a regular basis for changes.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,అటువంటి పునశ్చరణ తరువాత ఫ్లాట్ ఫారాన్ని మీరు నిరంతరం ఉపయోగించడం అనేది సవరించబడ్డ నిబంధనలను ఆమోదించినట్లుగా ఉంటుంది.,The constant use of the flat form after such reclamation would be similar to the acceptance of the revised terms.
How many different types of reports can be generated over Poshan Tracker Dashboard?,పోషన్ ట్రాకర్ డాష్బోర్డ్ ద్వారా ఎన్ని రకాల నివేదికలను రూపొందించవచ్చు?,How many types of reports can be generated through POSHAN Tracker Dashboard?
How to revive your health if you are Severely Wasted (SAM),ఒకవేళ మీరు తీవ్రంగా వెస్టెడ్ అయినట్లయితే మీ ఆరోగ్యాన్ని ఏవిధంగా పునరుద్ధరించాలి (SAM),How to restore your health if you are seriously ill (SAM)
"See assessment charts for Stunted, Wasted and Underweight parameters","స్టంటెడ్, వేస్ట్డ్ మరియు అండర్ వెయిట్ పరామీటర్ల కొరకు అసెస్ మెంట్ ఛార్టులను చూడండి","View the assessment charts for stained, worn-out and underweight parameters"
Resources for growth monitoring and general awareness,వృద్ధి పర్యవేక్షణ మరియు సాధారణ అవగాహన కోసం వనరులు,Resources for Growth Monitoring and General Awareness
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,ఒక నిర్దిష్ట అంగన్వాడీ కేంద్రంలో ఉన్న మౌలిక సదుపాయాలకు సంబంధించిన వివరాలను AWW నమోదు చేయాలి.,AWW shall register the details of the infrastructure available in a particular Anganwadi Centre.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ఇందులో నిర్మాణం, ప్రాథమిక సౌకర్యాలు, సౌకర్యాలు, పారిశుధ్యం, తాగునీరు మొదలైనవి ఉన్నాయి.","This includes infrastructure, facilities, sanitation, drinking water etc."
Lactating mothers who received Take Home Ration (THR),టేక్ హోమ్ రేషన్ (THR) అందుకున్న పాలిచ్చే తల్లులు,Pregnant Women receiving Take Home Ration (THR)
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","అటువంటి మార్పుల గురించి మీకు ప్రత్యేకంగా తెలియజేయకుండానే, ఏ సమయంలోనైనా ఈ గోప్యతా విధానంలోని ఏదైనా భాగాన్ని మార్చడానికి, సవరించడానికి, జోడించడానికి లేదా తొలగించడానికి పోషణ్ ట్రాకర్ కు బేషరతుగా హక్కు ఉంటుంది.","Poshan Tracker will have the unconditional right to change, modify, add or delete any part of this Privacy Policy at any time without giving you any specific information about such changes."
Any changes or updates will be effective immediately.,ఏవైనా మార్పులు లేదా నవీకరణలు వెంటనే అమల్లోకి వస్తాయి.,Any changes or updates shall come into effect immediately.
You should review this Privacy Policy regularly for changes.,మార్పుల కోసం మీరు ఈ గోప్యతా విధానాన్ని క్రమం తప్పకుండా సమీక్షించాలి.,You will need to regularly review this privacy policy for changes.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.",సిస్టమ్ పై నోటీస్ ద్వారా వంటి ఈ గోప్యతా విధానానికి ఏవైనా భౌతిక మార్పుల గురించి సాధారణంగా యూజర్ లందరికీ తెలియజేయడానికి మేము వాణిజ్యపరంగా సహేతుకమైన ప్రయత్నాలను ఉపయోగిస్తాము.,"We will use commercially reasonable efforts to inform all users in general about any physical changes to this privacy policy, such as through a notice on the system."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","అయితే, సిస్టమ్ యొక్క వినియోగదారుగా, ఏవైనా మార్పుల కొరకు మీరు గోప్యతా విధానాన్ని క్రమం తప్పకుండా తనిఖీ చేయాలి.","However, as a user of the system, you must regularly check the privacy policy for any changes."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","మేము ఈ గోప్యతా విధానం యొక్క ఎగువన ""చివరిగా నవీకరించబడిన"" తేదీని కూడా అప్ డేట్ చేస్తాము, ఇది ఈ గోప్యతా విధానం యొక్క ప్రభావవంతమైన తేదీని ప్రతిబింబిస్తుంది.","We will also update the last updated date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,కొత్త గోప్యతా విధానం తేదీ తరువాత సిస్టమ్ యొక్క మీ నిరంతర ప్రాప్యత లేదా ఉపయోగం కొత్త గోప్యతా విధానాన్ని మీరు ఆమోదించడాన్ని తెలియజేస్తుంది.,Your continued access to or use of the system after the new privacy policy date will indicate your acceptance of the new privacy policy.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","మీరు కొత్త గోప్యతా విధానానికి అంగీకరించకపోతే, మీరు సిస్టమ్ ని యాక్సెస్ చేసుకోవడం మరియు/లేదా ఉపయోగించడాన్ని నిలిపివేయాలి.","If you do not agree to the new privacy policy, you should discontinue accessing and / or using the system."
What is the eligibility of a beneficiary?,లబ్ధిదారుని యొక్క అర్హత ఏమిటి?,What is the eligibility of the beneficiary?
"No, Poshan Tracker is available only for Android version",ఆండ్రాయిడ్ వెర్షన్ కోసం మాత్రమే పోషన్ ట్రాకర్ అందుబాటులో ఉంది.,Poshan Tracker is available only for Android version.
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. నష్టపరిహారం మరియు బాధ్యత యొక్క పరిమితి,Limitation of indemnity and liability
Growth monitoring report for all health indicators,అన్ని ఆరోగ్య సూచికల కోసం వృద్ధి పర్యవేక్షణ నివేదిక,Growth Monitoring Report for all Health Indicators
Take Home Ration (THR) given in last 30 days,గత 30 రోజుల్లో ఇవ్వబడ్డ ఇంటి రేషన్(టిహెచ్ ఆర్),Home Ration (THR) given in last 30 days
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,WHO చైల్డ్ గ్రోత్ స్టాండర్డ్స్ మీడియన్ కంటే దిగువన వారి యొక్క ఎత్తు రెండు స్టాండర్డ్ డీవియేషన్ లు కంటే ఎక్కువగా ఉన్నట్లయితే పిల్లలు ఎదుగుదల నిలిచిపోయినట్లుగా నిర్వచించబడతారు,Child growth is defined as stunted if their height is more than two standard deviations below the WHO child growth standards median
What is the purpose of Launching Poshan Tracker?,పోషన్ ట్రాకర్ను ప్రారంభించడం యొక్క ఉద్దేశ్యం ఏమిటి?,What is the purpose of launching a Poshan Tracker?
"As a registered user, you have the right to access your profile at any time.","రిజిస్టర్డ్ యూజర్ గా, ఏ సమయంలోనైనా మీ ప్రొఫైల్ ని యాక్సెస్ చేసుకునే హక్కు మీకు ఉంటుంది.","As a registered user, you have the right to access your profile at any time."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","అయినప్పటికీ, పోషణ్ ట్రాకర్ సిస్టమ్ ద్వారా నియతానుసారంగా సూచించిన విధంగా మాత్రమే మార్పులు చేయవచ్చు.","However, changes can be made only in the manner prescribed by the POSHAN Tracker System."
You cannot manage the communications that you receive from us or how you receive them.,మీరు మా నుండి స్వీకరించే కమ్యూనికేషన్ లను లేదా వాటిని మీరు ఎలా స్వీకరిస్తారో మీరు నిర్వహించలేరు.,You cannot manage the communications that you receive from us or how you receive them.
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. చట్టం, తృతీయపక్ష హక్కులు మరియు ఇతర సేవా నిబంధనలతో సమ్మతి వహించడం","Agreeing to laws, third party rights and other service conditions."
"repeated infection, and inadequate psychosocial stimulation","పునరావృత సంక్రమణ, మరియు సరిలేని మానసిక ఉద్దీపన","Repeated infections, and improper mental stimulation"
Beneficiary migration from one AWC to another AWC,ఒక AWC నుండి మరొక AWCకి లబ్ధిదారుని మార్పు,Transfer of beneficiary from one AWC to another AWC
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","పోషాన్ అభియాన్ (02 ఫిబ్రవరి, 2021) కింద ఐసిటి ప్లాట్ఫాంపై శిక్షణ","Training on ICT Platform under POSHAN Abhiyaan (2nd February, 2021)"
You may browse the Site without registering for an account.,ఖాతా కోసం రిజిస్టర్ చేసుకోకుండానే మీరు సైట్ ని బ్రౌజ్ చేయవచ్చు.,You can browse the site without registering for the account.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","సైట్ ద్వారా అందించబడే నిర్ధిష్ట ఫీచర్లు లేదా సేవలను మీరు ఉపయోగించాలని అనుకున్నట్లయితే, మీ మొబైల్ నెంబరుతో ఖాతా కొరకు మీరు రిజిస్టర్ చేసుకోవాల్సి ఉంటుంది.","If you want to use specific features or services provided by the site, you will have to register for the account with your mobile number."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,మీ వ్యక్తిగత సమాచారం మరియు నమోదు మరియు ఈ సమాచారాన్ని సురక్షితంగా ఉంచడంలో మీరు విఫలం కావడం వల్ల కలిగే అన్ని కార్యకలాపాల యొక్క గోప్యతను నిర్వహించడానికి మీరు పూర్తిగా బాధ్యత వహిస్తారు.,You are fully responsible for maintaining the privacy of all your personal information and records and all activities that result from your failure to keep this information safe.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,మీ రిజిస్ట్రేషన్ లేదా మొబైల్ నెంబరు గోప్యంగా ఉంచబడుతుందిమీరు దీనిని చేపడతారుఃమీ ఖాతా ద్వారా తమ రికార్డులను సృష్టించడం కొరకు సంబంధిత వ్యక్తుల నుంచి మీరు సమ్మతిని పొందారు.,Your registration or mobile number will be kept confidential.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,మీ ఖాతా లేదా మొబైల్ నెంబరు ఆ వ్యక్తిని అనుకరించే ఉద్దేశ్యంతో మరొక వ్యక్తి పేరును చేర్చరాదు.,Your account or mobile number should not contain the name of another person for the purpose of impersonating that person.
You shall not use another user's account without their permission.,వారి అనుమతి లేకుండా మీరు మరొక వినియోగదారు ఖాతాను ఉపయోగించరాదు.,You should not use another user account without their consent.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.","మీ ఖాతా యొక్క ఏదైనా అనధీకృత ఉపయోగం లేదా ఇతర ఖాతా సంబంధిత భద్రతా ఉల్లంఘనను మీరు కనుగొన్నట్లయితే, మీరు వెంటనే రాతపూర్వకంగా మాకు తెలియజేయాలి.","If you find any unauthorized use of your account or other account related security breach, you should immediately inform us in writing."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","మీ ఖాతా వేరొకరి హక్కులను ఉల్లంఘిస్తుందని లేదా మా విధానాలను ఉల్లంఘిస్తుందని మాకు ఫిర్యాదు అందితే, మేము మీ ఖాతాను రద్దు చేయవచ్చు లేదా నిరోధించవచ్చు.","If we receive a complaint that your account violates the rights of someone else or is in violation of our policies, we can cancel or block your account."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",సైట్ లో పాల్గొనేవారిని రిజిస్టర్ చేయడం కొరకు బహుళ ఇంటర్నెట్ ప్రోటోకాల్ చిరునామాలు లేదా మొబైల్ నెంబరు ఉపయోగించడం ద్వారా లేదా ఏదైనా ఇతర మార్గాల ద్వారా మీ గుర్తింపును దాచడానికి మీరు ప్రయత్నించరాదు,You should not try to hide your identity by using multiple internet protocol addresses or mobile numbers or by any other means to register participants on the site
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,పోషణ్ ట్రాకర్ యాప్ 22 వేర్వేరు భాషలలో లభిస్తుందిఅందుబాటులో ఉన్న వివిధ భాషలుఃఆంగ్లము హిందీగుజరాతీపంజాబీమరాఠీబంగ్లాకన్నడతమిళంతెలుగుమళయాళంఓడియాఅస్సామీNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,"POSHAN Tracker App is available in 22 different languagesEnglish, Hindi, Gujarati, Punjabi, Marathi, Bengali, Kannada, Tamil, Telugu, Malayalam, Odiya, Assamese, Nepali, Konkani, Maithili, Manipuri, Kashmiri"
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ప్రతిపాదిత వ్యవస్థ నిర్వచించిన సూచికలపై అన్ని AWC లు, AWW లు మరియు లబ్ధిదారుల యొక్క నిజ-సమయ పర్యవేక్షణ మరియు ట్రాకింగ్ను ప్రారంభించాలి.","Real-time monitoring and tracking of all AWCs, AWWs and beneficiaries should be initiated on the indicators defined by the proposed system."
How to Login in Poshan Tracker App?,పోషణ్ ట్రాకర్ యాప్లో లాగిన్ అవ్వడం ఎలా?,How to login to the POSHAN Tracker App?
Height and weight of child has not been measured,శిశువు ఎత్తు మరియు బరువు కొలవబడలేదు,The child's height and weight were not measured
Calculator to measure the child growth based on the WHO Child Growth Standards.,WHO చైల్డ్ గ్రోత్ స్టాండర్డ్స్ ఆధారంగా పిల్లల ఎదుగుదలను లెక్కించడం కొరకు కాలిక్యులేటర్,Calculator for calculating child growth based on WHO child growth standards
TAKE HOME RATION (THR) GIVEN TODAY,నేడు ఇవ్వబడ్డ ఇంటి రేషన్ (టీహెచ్ఆర్),Today's Home Ration (THR)
A beneficiary is eligible for THR for at least 21 days in a month.,లబ్ధిదారుడు నెలలో కనీసం 21 రోజులపాటు THR పొందడానికి అర్హులు.,Beneficiaries are eligible to receive THR for a minimum period of 21 days in a month
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. భవిష్యత్తులో నిబంధనల మార్పులకు సంబంధించిన నోటీస్ః,Notice for future changes:
Planning And Organising Community Based Events At AWC,ఎడబ్ల్యుసి వద్ద కమ్యూనిటీ ఆధారిత ఈవెంట్ లను నిర్వహించడం,Conduct of Community Based Events at AWC
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1-Click on Poshan Tracker website https: / / posttracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,Step 2 - Enter your registered mobile number and pre-set 4 digit MPIN.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,AWWS వారి మొబైల్ నంబర్ల ద్వారా నమోదు చేయలేకపోతే యాప్ లో ఎలా సైన్ అప్ చేయవచ్చు?,How to sign up for the App if AWWS is unable to register through their mobile numbers?
Poshan Tracker adds new Reports feature,పోషన్ ట్రాకర్ కొత్త రిపోర్ట్స్ ఫీచర్ని జోడిస్తుంది,Poshan Tracker Adds New Reports Feature
General Awareness about preventing illness in Children,పిల్లల్లో అస్వస్థతను నిరోధించడం గురించి సాధారణ అవగాహన,General Awareness on Preventing Illness in Children
2. HOW WE USE PERSONAL INFORMATION,2. మేము వ్యక్తిగత సమాచారాన్ని ఎలా ఉపయోగిస్తాము,How do we use personal information?
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","""The following are the Terms of Service ("" ""Terms"" "") that govern your use of the Swasth Balak Balika Spardha Platform hosted at https: / / posttracker."""
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","""and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the"" ""site"" "")."""
Please provide your mobile number and a ticket number.,దయచేసి మీ మొబైల్ నెంబరు మరియు టికెట్ నెంబరు ఇవ్వండి.,Please provide your mobile number and ticket number.
Please contact your respective Anganwadi worker.,దయచేసి మీ సంబంధిత అంగన్ వాడీ వర్కర్ ని సంప్రదించండి.,Please contact your concerned Anganwadi worker.
SAM Children under 5 years who received Supplementary Nutrition,అనుబంధ పోషణ పొందిన 5 సంవత్సరాల కంటే తక్కువ వయస్సు ఉన్న ఎస్. ఎ. ఎం పిల్లలు,SAM children below 5 years of age with supplementary nutrition
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1పెంటావాలెంట్-1రోటావైరస్ వ్యాక్సిన్ (RVV)-1ఇనాక్టివేటెడ్ పోలియో వ్యాక్సిన్ (fIPV)-1 యొక్క భిన్న మోతాదున్యుమోకాకల్ కాంజుగేట్ వ్యాక్సిన్ (పిసివి) -1,OPV - 1 Pentavalent - 1 Rotavirus Vaccine (RVV) - 1 Different dose of Inactivated Polio Vaccine (FIPV) - 1 Pneumoccal Conjugate Vaccine (PCV) - 1
Height should be between 38 to 150,ఎత్తు 38 నుండి 150 మధ్య ఉండాలి,The height should be between 38 to 150 feet
How to contact Poshan Tracker Team?,పోషణ్ ట్రాకర్ టీమ్ ని ఏవిధంగా సంప్రదించాలి?,How to contact the POSHAN Tracker Team?
Take Home Ration (THR) Given Today,నేడు ఇవ్వబడ్డ ఇంటి రేషన్ (టీహెచ్ఆర్),Today's Home Ration (THR)
How many different forms are there in Poshan Tracker App?,పోషణ్ ట్రాకర్ యాప్లో ఎన్ని విభిన్న ఫారమ్లు ఉన్నాయి?,How many different forms are there in the POSHAN Tracker App?
There are 7 different types of forms for beneficiaries.,లబ్ధిదారుల కోసం 7 రకాల ఫారమ్ లు ఉన్నాయి.,There are 7 types of forms for the beneficiaries
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),ఇందులో ఇవి ఉన్నాయిఃపాలిచ్చే తల్లిగర్భిణీ స్త్రీలుపిల్లవాడు 0-6 నెలలుపిల్లల 6 నెలల నుండి 3 సంవత్సరాల వరకుపిల్లల 3 సంవత్సరాల నుండి 6 సంవత్సరాల వరకుకౌమార బాలికలు (11 సంవత్సరాలు -19 సంవత్సరాలు),"These include: Pregnant women, 0-6 months Children, 6 months to 3 years Children, 3 years to 6 years Adolescent girls (11 years to 19 years)"
Shibpur I C D S Project,శిబ్పూర్ ఐ. సి. డి. ఎస్ ప్రాజెక్ట్,Shibpur ICDS Project
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home",గత ఒకటి నుంచి మూడు నెలలుగా అంగన్వాడీ కార్యకర్త ఎవరూ లబ్ధిదారుని ఇంటిని సందర్శించలేదు,No Anganwadi worker has visited the house of the beneficiary for the last one to three months
Please enter Weight greater than 0.49 and less than 40.01,దయచేసి 0.49 కంటే ఎక్కువ మరియు 40.01 కంటే తక్కువ బరువును నమోదు చేయండి,Please register above 0.49 and below 40.01
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https: / / poshantracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,In or by downloading the Poshan Tracker App.
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"MPIN అనేది 4 అంకెల పాస్కోడ్, ఇది పోషణ్ ట్రాకర్ యాప్ పై నమోదు చేసేటప్పుడు అంగన్వాడీ కార్మికుడు సెట్ చేస్తారు.",MPIN is a 4-digit passcode that is set by an Anganwadi worker while registering on the POSHAN tracker app
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)","స్మార్ట్ ఫోన్ మరియు సాంకేతిక అనుకూలత పరీక్ష యొక్క లక్షణాలు (02 ఫిబ్రవరి, 2021)","Features of the Smartphone and Technical Compatibility Test (February 02, 2021)"
Request for child's height and weight measurement,శిశువు ఎత్తు మరియు బరువు కొలత కోసం అభ్యర్థన,Measurement of Infant Height and Weight Required
Children (6 months - 3 years),పిల్లలు (6 నెలలు - 3 సంవత్సరాలు),Children (6 months - 3 years)
