eng,gu,indic_trans_translated
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","આમાં માળખું, પાયાની સુવિધાઓ, સગવડો, સ્વચ્છતા, પીવાનું પાણી વગેરે શામેલ છે.","This includes infrastructure, basic amenities, facilities, sanitation, drinking water etc."
Lactating mothers who received Take Home Ration (THR),ટેક હોમ રાશન (THR) મેળવનાર સ્તનપાન કરાવતી માતાઓ,Breastfeeding mothers receiving Take Home Ration (THR)
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","Poshan Tracker આ પ્રાઇવસી પોલિસી ના કોઈપણ ભાગને કોઈપણ સમયે બદલવા, સંશોધિત કરવા, ઉમેરવા અથવા દૂર કરવાનો બિનશરતી અધિકાર અનામત રાખે છે, તમને આવા ફેરફારો વિશે ખાસ જાણ કર્યા વિના.","Poshan Tracker reserves the unqualified right to change, modify, add or remove any part of this Privacy Policy at any time, without giving you specific information about such changes."
Any changes or updates will be effective immediately.,કોઈપણ ફેરફારો અથવા અપડેટ તરત જ અસરકારક રહેશે.,Any changes or updates that come into effect immediately.
You should review this Privacy Policy regularly for changes.,ફેરફારો માટે તમારે આ પ્રાઇવસી પોલિસી ની નિયમિત સમીક્ષા કરવી જોઈએ.,You should regularly review this privacy policy for changes.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","અમે સામાન્ય રીતે તમામ વપરાશકર્તાઓને આ પ્રાઇવસી પોલિસી માં કોઈપણ ભૌતિક ફેરફારોની સૂચના આપવા માટે વ્યાવસાયિક રીતે વાજબી પ્રયાસોનો ઉપયોગ કરીશું, જેમ કે સિસ્ટમ પરની સૂચના દ્વારા.","We will typically use commercially reasonable efforts to notify all users of any physical changes to this Privacy Policy, such as through notifications on the system."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","જો કે, સિસ્ટમના વપરાશકર્તા તરીકે, તમારે કોઈપણ ફેરફારો માટે નિયમિતપણે પ્રાઇવસી પોલિસી તપાસવી જોઈએ.","However, as a user of the system, you should check your privacy policy regularly for any changes."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","અમે આ પ્રાઇવસી પોલિસી ની ટોચ પર ""છેલ્લી અપડેટ કરેલ"" તારીખને પણ અપડેટ કરીશું, જે આ પ્રાઇવસી પોલિસી ની અસરકારક તારીખને પ્રતિબિંબિત કરે છે.","We will also update the last updated date at the top of this Privacy Policy, reflecting the effective date of this Privacy Policy."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,નવી પ્રાઇવસી પોલિસી ની તારીખ પછી સિસ્ટમની તમારી સતત ઍક્સેસ અથવા ઉપયોગ નવી પ્રાઇવસી પોલિસી ની તમારી સ્વીકૃતિની રચના કરે છે.,Your continued access to or use of the system after the date of the new privacy policy forms your acceptance of the new privacy policy.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","જો તમે નવી પ્રાઇવસી પોલિસી સાથે સંમત ન હોવ, તો તમારે સિસ્ટમને ઍક્સેસ કરવાનું અને/અથવા ઉપયોગ કરવાનું બંધ કરવું પડશે.","If you do not agree with the new privacy policy, you will have to stop accessing and / or using the system."
What is the eligibility of a beneficiary?,લાભાર્થીની લાયકાત શું છે?,What are the eligibility criteria?
"No, Poshan Tracker is available only for Android version","ના, પોષણ ટ્રેકર ફક્ત એન્ડ્રોઇડ સંસ્કરણ માટે ઉપલબ્ધ છે.","No, the nutrition tracker is available only for the Android version."
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ક્ષતિપૂર્તિ અને જવાબદારીની મર્યાદા,Indemnity and Limitation of Liability
Growth monitoring report for all health indicators,તમામ સ્વાસ્થ્ય નિર્દેશાંકો માટે વૃદ્ધિને લગતા અહેવાલનું નિરીક્ષણ,Monitoring of the Report on Growth for All Health Indices
Take Home Ration (THR) given in last 30 days,પાછલા 30 દિવસમા દેવામા આવેલ ઘરે લઇ જવા માટેનો સીધુંસામાન (THR),Direct Benefit Transfer (THR) for last 30 days
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,જો બાળકોની ઉંચાઈ ડબ્લ્યુએચઓ ચાઈલ્ડ ગ્રોથ સ્ટાન્ડર્ડના મધ્યકથી બે પ્રમાણભૂત વિચલનો કરતાં વધુ હોય તો તેમને સ્ટંટેડ તરીકે વ્યાખ્યાયિત કરવામાં આવે છે,"If the height of a child is more than two standard deviations from the middle of the WHO child growth standard, they are defined as stunted"
What is the purpose of Launching Poshan Tracker?,પોશણ ટ્રેકર શરૂ કરવાનો હેતુ શું છે?,What is the purpose of starting a Passion Tracker?
"As a registered user, you have the right to access your profile at any time.","નોંધાયેલ વપરાશકર્તા તરીકે, તમને કોઈપણ સમયે તમારી પ્રોફાઇલને ઍક્સેસ કરવાનો અધિકાર છે.","As a registered user, you have the right to access your profile at any time."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","તેમ છતાં, ફેરફારો ફક્ત પોશન ટ્રેકર સિસ્ટમ દ્વારા સમયાંતરે સૂચવ્યા મુજબ જ કરી શકાય છે.","However, changes can be made only through the POSHAN tracker system, as indicated from time to time."
You cannot manage the communications that you receive from us or how you receive them.,તમે અમારી પાસેથી મેળવેલા સંદેશાવ્યવહારને અથવા તમે તેને કેવી રીતે પ્રાપ્ત કરો છો તેનું સંચાલન કરી શકતા નથી.,You cannot manage the communication you receive from us or how you receive it.
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. કાયદાનું પાલન, તૃતીય પક્ષના અધિકારો અને સેવાની અન્ય શરતો","Enforcement of laws, rights of third parties and other conditions of service."
"repeated infection, and inadequate psychosocial stimulation","પુનરાવર્તિત ચેપ, અને અપૂરતી મનો-સામાજિક ઉત્તેજના","Repeated infections, and inadequate psycho-social stimulation"
Beneficiary migration from one AWC to another AWC,લાભાર્થી એક AWCથી અન્ય AWCમાં સ્થળાંતરણ,Transfer of one beneficiary from one AWC to another AWC
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","પોશણ અભિયાન હેઠળ આઈસીટી પ્લેટફોર્મ પર તાલીમ (02 ફેબ્રુઆરી, 2021)",Training on ICT Platform under POSHAN Abhiyaan (02 February 2021)
You may browse the Site without registering for an account.,તમે એકાઉન્ટ માટે નોંધણી કર્યા વિના સાઇટ બ્રાઉઝ કરી શકો છો.,You can browse the site without registering for the account.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","જો તમે સાઇટ દ્વારા ઓફર કરવામાં આવતી અમુક સુવિધાઓ અથવા સેવાઓનો ઉપયોગ કરવાનો ઇરાદો ધરાવો છો, તો તમારે તમારા મોબાઇલ નંબર સાથે એકાઉન્ટ માટે નોંધણી કરાવવાની જરૂર પડશે.","If you intend to use some of the features or services offered by the site, you will need to register for the account with your mobile number."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,તમારી અંગત માહિતી અને નોંધણીની પ્રાઇવસી જાળવવા અને આ માહિતીને સુરક્ષિત રાખવામાં તમે નિષ્ફળ જવાથી પરિણમી શકે તેવી તમામ પ્રવૃત્તિઓ માટે તમે સંપૂર્ણપણે જવાબદાર છો.,You are fully responsible for all the activities that may result from your failure to maintain the privacy and security of your personal information and registration.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,તમારું રજીસ્ટ્રેશન અથવા મોબાઈલ નંબર ગુપ્ત રાખવામાં આવશેતમે તે લો છોઃતમે તમારા એકાઉન્ટ દ્વારા તેમના રેકોર્ડ બનાવવા માટે સંબંધિત વ્યક્તિઓ પાસેથી સંમતિ મેળવી છે.,Your registration or mobile number will be kept confidential: You have obtained the consent of the concerned persons to create their records through your account.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,તમારા એકાઉન્ટ અથવા મોબાઇલ નંબરમાં તે વ્યક્તિનો ઢોંગ કરવાના ઉદ્દેશ્ય સાથે અન્ય વ્યક્તિનું નામ શામેલ હોવું જોઈએ નહીં.,Your account or mobile number should not contain the name of another person for the purpose of impersonating that person.
You shall not use another user's account without their permission.,તમે અન્ય વપરાશકર્તાના એકાઉન્ટનો તેમની પરવાનગી વિના ઉપયોગ કરશો નહીં.,You should not use other users account without their permission.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.",જો તમને તમારા એકાઉન્ટનો કોઈપણ અનધિકૃત ઉપયોગ અથવા અન્ય એકાઉન્ટ-સંબંધિત સુરક્ષા ભંગ જણાય તો તમે અમને તરત જ લેખિતમાં જાણ કરશો.,"If you find any unauthorized use of your account or other account-related security breach, you will immediately inform us in writing."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","જો અમને ફરિયાદ મળે છે કે તમારું એકાઉન્ટ કોઈ બીજાના અધિકારોનું ઉલ્લંઘન કરે છે, અથવા અમારી નીતિઓનું ઉલ્લંઘન કરે છે, તો અમે તમારું એકાઉન્ટ રદ અથવા અવરોધિત કરી શકીએ છીએ.","If we receive a complaint that your account is violating the rights of others, or is in violation of our policies, we can cancel or block your account."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",સાઇટ પર સહભાગીઓની નોંધણી કરવા માટે તમે બહુવિધ ઇન્ટરનેટ પ્રોટોકોલ સરનામાં અથવા મોબાઇલ નંબરનો ઉપયોગ કરીને અથવા અન્ય કોઈપણ માધ્યમથી તમારી ઓળખ છુપાવવાનો પ્રયાસ કરશો નહીં,Do not try to hide your identity using multiple internet protocol address or mobile number or through any other means to register participants on the site
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,પોષણ ટ્રેકર એપ્લિકેશન 22 વિવિધ ભાષાઓમાં ઉપલબ્ધ છે.ઉપલબ્ધ વિવિધ ભાષાઓ છેઃઅંગ્રેજીહિન્દીગુજરાતીપંજાબીમરાઠીબાંગ્લાકન્નડતમિળતેલુગુમલયાલમઓડિયાઆસામીNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,"POSHAN tracker app is available in 22 different languages: English, Hindi, Gujarati, Punjabi, Marathi, Bengali, Kannada, Telugu, Malayalam, Odiya, Assamese, Nepali, Konkani, Sindhi, Maithili, Manipuri, Kashmiri"
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","સૂચિત સિસ્ટમમાં બધા એડબ્લ્યુસી, એડબ્લ્યુડબ્લ્યુ અને લાભાર્થીઓને નિર્ધારિત સૂચકાંકો પર રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગને સક્ષમ બનાવવું જોઈએ.","All AWCs, AWWs and beneficiaries in the proposed system should be enabled with real-time monitoring and tracking on the assigned indicators."
How to Login in Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનમાં પ્રવેશ કરો કેવી રીતે કરવું?,How to access the POSHAN Tracker App
Height and weight of child has not been measured,બાળકની ઊંચાઈ અને વજન માપવામાં આવ્યું નથી,The child's height and weight were not measured
TAKE HOME RATION (THR) GIVEN TODAY,આજે દેવામા આવેલ ઘરે લઇ જવા માટેનો સીધુંસામાન (THR),Home delivery (THR) delivered today
A beneficiary is eligible for THR for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે THR માટે પાત્ર છે.,A beneficiary is eligible for THR for a minimum period of 21 days in a month.
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. શરતોમાં ભાવિ ફેરફારો અંગેની સૂચનાઃ,Suggestions for future changes in conditions:
Planning And Organising Community Based Events At AWC,AWC ખાતે સમુદાય આધારિત કાર્યક્રમોનું આયોજન,Community Based Programmes at AWC
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1-Click on Poshan Tracker website https: / / posttracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,Step 2 - Enter your registered mobile number and pre-set 4 digit MPIN.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,જો આંગણવાડી કાર્યકરો તેમના મોબાઇલ નંબર દ્વારા નોંધણી કરવામાં અસમર્થ હોય તો એપ્લિકેશન પર કેવી રીતે સાઇન અપ કરી શકે છે?,"If Anganwadi workers are unable to register through their mobile numbers, how can they sign up on the app?"
Poshan Tracker adds new Reports feature,પોષણ ટ્રેકરે નવા અહેવાલોની વિશેષતા ઉમેરી,Nutrition Tracker Adds Features to New Reports
General Awareness about preventing illness in Children,બાળકોમાં બિમારી અટકાવવા અંગે સામાન્ય જાગૃતિ,General Awareness on Preventive Disease in Children
2. HOW WE USE PERSONAL INFORMATION,2. અમે વ્યક્તિગત માહિતીનો ઉપયોગ કેવી રીતે કરીએ છીએ,How do we use personal information?
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","""The following are the Terms of Service ("" ""Terms"" "") that governs your use of the Swasth Balak Balika Spardha Platform hosted at https: / / posttracker."""
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","""and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the"" ""site"" "")."""
Please provide your mobile number and a ticket number.,કૃપા કરીને તમારો મોબાઈલ નંબર અને ટિકિટ નંબર આપો.,Please provide your mobile number and ticket number.
Please contact your respective Anganwadi worker.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કાર્યકરનો સંપર્ક કરો.,Please contact your respective Anganwadi worker.
SAM Children under 5 years who received Supplementary Nutrition,SAM 5 વર્ષથી ઓછી ઉંમરના બાળકો જેમણે પૂરક પોષણ મેળવ્યું હતું,SAM children under 5 years of age who received supplementary nutrition
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1પેન્ટાવેલેન્ટ-1રોટાવાયરસ રસી (RVV)-1નિષ્ક્રિય પોલિયો રસી (fIPV)-1 ની અપૂર્ણાંક માત્રાન્યુમોકોકલ કોન્જુગેટ વેક્સિન (PCV)-1,OPV-1 Pentavalent-1 Rotavirus Vaccine (RVV) -1 Inactivated Polio Vaccine (FIPV-1) Partial dose of Pneumocococcal Conjugate Vaccine (PCV) -1
Height should be between 38 to 150,ઊંચાઈ 38 થી 150 વચ્ચે હોવી જોઈએ,The height should be between 38 to 150 feet.
How to contact Poshan Tracker Team?,પોષણ ટ્રેકર ટીમનો સંપર્ક કેવી રીતે કરવો?,How to contact the nutrition tracker team
Take Home Ration (THR) Given Today,આજે દેવામા આવેલ ઘરે લઇ જવા માટેનો સીધુંસામાન (THR),Home delivery (THR) delivered today
How many different forms are there in Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનમાં કેટલા વિવિધ ફોર્મ આપેલા છે?,How many different forms are there in the POSHAN Tracker App?
There are 7 different types of forms for beneficiaries.,લાભાર્થીઓ માટે 7 વિવિધ પ્રકારનાં ફોર્મ છે.,There are 7 different types of forms for beneficiaries.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),જેમાં શામેલ છેઃસ્તનપાન કરાવતી માતાસગર્ભા સ્ત્રીઓબાળક 0-6 મહિનાબાળક 6 મહિનાથી 3 વર્ષબાળક 3 વર્ષથી 6 વર્ષકિશોરવયની છોકરીઓ (11 વર્ષ -19 વર્ષ),"These include: Pregnant women, Lactating mothers, 0-6 months children, 6 months to 3 years children, 3 years to 6 years girls (11 years to 19 years)"
Shibpur I C D S Project,શિબપુર આઈસીડીએસ પ્રોજેક્ટ,Shibpur ICDS Project
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home",તાજેતરમાં એકથી ત્રણ મહિનામાં કોઈ આંગણવાડી કાર્યકર્તાએ લાભાર્થીના ઘરની મુલાકાત લીધી નથી,"Recently, in the last one to three months, no Anganwadi worker has visited the house of the beneficiary"
Please enter Weight greater than 0.49 and less than 40.01,કૃપા કરીને 0.89 કરતાં વધુ અને 58.01 કરતાં ઓછું વજન દાખલ કરો,Please insert more than 0.89 and less than 58.01
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https: / / poshantracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,In or by downloading the Poshan Tracker App.
Calculator to measure the child growth based on the WHO Child Growth Standards,WHO ચાઇલ્ડ ગ્રોથ સ્ટાન્ડર્ડ્સના આધારે બાળકની વૃદ્ધિને માપવા માટે કેલ્ક્યુલેટર,Calculator to measure child growth based on WHO Child Development Standards
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"એમપિન એ 4 અંકનો પાસકોડ છે, જે પોષણ ટ્રેકર એપ પર નોંધણી કરતી વખતે આંગણવાડી કાર્યકર દ્વારા સેટ કરવામાં આવે છે.",MPIN is a 4-digit passcode that is set by an Anganwadi worker while registering on the Poshan Tracker app.
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)","સ્માર્ટ ફોન અને તકનીકી સુસંગતતા પરીક્ષણની વિશિષ્ટતાઓ (02 ફેબ્રુઆરી, 2021)","Features of Smart Phone and Technical Compatibility Test (February 02, 2021)"
Request for child's height and weight measurement,બાળકની ઊંચાઈ અને વજન માપવા માટે વિનંતી,A request to measure the height and weight of a child
Children (6 months - 3 years),બાળકો (6 મહિના-3 વર્ષ),Children (6 months - 3 years)
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","જ્યારે તમે અમારી સાઇટ્સ, એપ્લિકેશન અને પ્લેટફોર્મ ટેકનોલોજી સહિત અમારી સેવાઓની મુલાકાત લો છો અથવા અન્યથા ઉપયોગ કરો છો ત્યારે અમે વપરાશ ડેટાને લૉગ કરીએ છીએ.","We log in to the usage data when you visit our services including our sites, apps and platform technology or otherwise."
"Result couldn't be fetch, please enter valid data","પરિણામ મેળવી શકાયું નથી, કૃપા કરીને માન્ય ડેટા દાખલ કરો","Could not get result, please enter valid data"
Central Golaghat I. C. D. S. Project,સેન્ટ્રલ ગોલઘાટ આઈ. સી. ડી. એસ પ્રોજેક્ટ,Central Golaghat ICDS Project
