eng,ml,indic_trans_translated
Specifications of Smart phone and Technical Compatibility Testing,സ്മാർട്ട് ഫോണിന്റെ സ്പെസിഫിക്കേഷനുകളും ടെക്നിക്കൽ കോംപാറ്റിബിലിറ്റി ടെസ്റ്റിംഗും,Specifications and features of the smartphone
Preparation During Pregnancy - For NewBorn Care & Family Planning,ഗർഭകാലത്തെ തയ്യാറെടുപ്പുകൾ - നവജാത ശിശു സംരക്ഷണത്തിനും കുടുംബാസൂത്രണത്തിനും,Preparation of Pregnancy - for newborn care and family planning
Stunting is the impaired growth and development that children experience from poor nutrition,പോഷകാഹാരക്കുറവ് മൂലം കുട്ടികൾ അനുഭവിക്കുന്ന വളർച്ചയുടെയും വികാസത്തിന്റെയും വൈകല്യമാണ് മുരടിപ്പ്,Malnutrition is a disorder of the growth and development of children due to malnutrition
Children in the age group of 3 years to 6 years,3 വയസ്സ് മുതൽ 6 വയസ്സ് വിഭാഗം കുട്ടികളുടെ വിഭാഗം,Children (3 years to 6 years)
What is the eligibility of a beneficiary?,ഒരു ഗുണഭോക്താവിന്റെ യോഗ്യത എന്താണ്?,What is the eligibility of a beneficiary?
Who are the target userbase of Poshan Tracker App?,പോഷൻ ട്രാക്കർ ആപ്പിന്റെ ടാർഗെറ്റ് യൂസർബേസ് ആരാണ്?,Who is the target user of the Potion Tracker App?
"It often indicates recent and severe weight loss, although it can also persist for a long time","ഇത് പലപ്പോഴും അടുത്തിടെയുള്ളതും കഠിനവുമായ ശരീരഭാരം സൂചിപ്പിക്കുന്നു, എന്നിരുന്നാലും ഇത് വളരെക്കാലം നിലനിൽക്കും","This often indicates closer and heavier weight, however, it will last longer"
What is the minimum requirement to install Poshan Tracker App in mobile?,മൊബൈലിൽ പോഷൻ ട്രാക്കർ ആപ്പ് ഇൻസ്റ്റാൾ ചെയ്യുന്നതിനുള്ള ഏറ്റവും കുറഞ്ഞ ആവശ്യകത എന്താണ്?,What is the minimum requirement to install the Potion Tracker App on mobile?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,ഡോക്യുമെന്റേഷനിൽ വിവരിച്ചിരിക്കുന്ന മാർഗ്ഗങ്ങളിലൂടെ മാത്രമേ നിങ്ങൾ സൈറ്റ് ആക്സസ് ചെയ്യുകയുള്ളൂ (അല്ലെങ്കിൽ ആക്സസ് ചെയ്യാൻ ശ്രമിക്കുകയും) ഈ കരാറിന്റെ നിബന്ധനകളും വ്യവസ്ഥകളും പാലിക്കുകയും ചെയ്യും.,You will only access the site (or try to access it) through the means described in the documentation and will comply with the terms and conditions of this agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","നിങ്ങൾക്കും നിങ്ങളുടെ സൈറ്റിന്റെ ഉപയോഗത്തിനും ബാധകമായതും ഏതെങ്കിലും മൂന്നാം കക്ഷി അവകാശങ്ങളെ ബാധിക്കുന്നതുമായ എല്ലാ കേന്ദ്ര, സംസ്ഥാന നിയമങ്ങളും നിയമങ്ങളും നിയന്ത്രണങ്ങളും നിങ്ങൾ പാലിക്കും.","You will comply with all Central and State laws, rules and regulations that are applicable to you and to the use of your site and which affect any third party rights"
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balka Spardha by registering through the website https: / / poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.,or by downloading 'Poshan Tracker' app from Google Play Store.
Clarification regarding Cost of Smart phones,സ്മാർട്ട് ഫോണുകളുടെ വില സംബന്ധിച്ച് വ്യക്തത,Pricing of smartphones
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,അഞ്ചാംപനി അടങ്ങിയ വാക്സിൻ (MCV)/മീസിൽസ് & റുബെല്ല (MR)-1ജാപ്പനീസ് എൻസെഫലൈറ്റിസ്(ജെഇ)-1**പിസിവി-ബൂസ്റ്റർ,Vaccine (MCV) / Measles & Rubella (MR) -1 Japanese Encephalitis (JE) -1 * PCV-Booster
Mobile number need to be validated within a week,മൊബൈൽ നമ്പർ ഒരാഴ്ചക്കുള്ളിൽ സാധൂകരിക്കണം,The mobile number should be authenticated within a week
Currently a beneficiary can register by the help of an AWW,നിലവിൽ ഒരു ഗുണഭോക്താവിന് AWW-ന്റെ സഹായത്തോടെ രജിസ്റ്റർ ചെയ്യാം,"At present, a beneficiary can register with the help of AWW"
Awareness for Lactating Mother Complimentary Feeding for Children,മുലയൂട്ടുന്ന അമ്മ കുട്ടികൾക്കുള്ള കോംപ്ലിമെന്ററി ഫീഡിംഗിനായുള്ള ബോധവൽക്കരണം,Awareness for supplementary feeding for lactating mothers and children
New Poshan Tracker App - CSC-SPV Nodal Person,പുതിയ പോഷൻ ട്രാക്കർ ആപ്പ് - CSC-SPV നോഡൽ വ്യക്തി,New Potion Tracker App - CSC - SPV Nodal Person
1.1. Information you provide to us.,1.1. നിങ്ങൾ ഞങ്ങൾക്ക് നൽകുന്ന വിവരങ്ങൾ.,1.1.The information you provide us.
How can one access Poshan Tracker Dashboard?,ഒരാൾക്ക് എങ്ങനെ പോഷാൻ ട്രാക്കർ ഡാഷ്ബോർഡ് ആക്സസ് ചെയ്യാൻ കഴിയും?,How can one access the Poshan Tracker Dashboard?
Prevention of Anemia in children and adolescents girls,കുട്ടികളിലും കൌമാരക്കാരായ പെൺകുട്ടികളിലും വിളർച്ച തടയൽ,Prevention of Malnutrition among Children and Adolescent Girls
Gangarampur Addl. I. C. D. S Project,ഗംഗാറാംപൂർ എഡിഡിഎൽ. ഐ. സി. ഡി. എസ് പ്രോജക്ട്,Gangarampur ADDLI ICDS Project
Can a beneficiary register directly using application.,ഒരു ഗുണഭോക്താവിന് അപേക്ഷ ഉപയോഗിച്ച് നേരിട്ട് രജിസ്റ്റർ ചെയ്യാം.,A beneficiary can directly register with the application.
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,വനിതാ ശിശു വികസന മന്ത്രാലയം പോഷൻ ട്രാക്കർ അപേക്ഷ പുറത്തിറക്കി.,Ministry of Women and Child Development issues POSHAN Tracker Application
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.","എല്ലാ തലങ്ങളിലും നടപ്പാക്കൽ തടസ്സങ്ങൾ ശക്തിപ്പെടുത്തുന്നതിൽ ശ്രദ്ധ കേന്ദ്രീകരിച്ച്, മാതൃ-ശിശു പോഷകാഹാരക്കുറവ് മെച്ചപ്പെടുത്തുന്നതിനുള്ള പോഷകാഹാര സംവിധാനങ്ങൾ ശക്തിപ്പെടുത്തുക എന്നതാണ് ലക്ഷ്യം.",The aim is to strengthen nutrition systems to improve maternal and child malnutrition with focus on strengthening implementation bottlenecks at all levels.
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.","കേന്ദ്രീകൃത ഡാറ്റാ ആർക്കിടെക്ചർ ഉപയോഗിച്ചാണ് പോഷൻ ട്രാക്കർ നിർമ്മിച്ചിരിക്കുന്നത്, ഇത് മറ്റ് മന്ത്രാലയങ്ങളുടെയും പ്രോഗ്രാമുകളുടെയും ഡിജിറ്റൽ സാങ്കേതിക സംവിധാനങ്ങളുമായി യോജിക്കുന്നു.","POSHAN tracker is built using centralized data architecture, which aligns with digital technology systems of other ministries and programs."
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.","സിസ്റ്റം ഓരോ ഗുണഭോക്താവിനും ഒരു ഡിജിറ്റൽ കാർഡ് വഴി ഒരു ഡിജിറ്റൽ ഐഡന്റിറ്റി നൽകുന്നു, കൂടാതെ സാങ്കേതിക കേന്ദ്രവുമായി കോൾ സെന്റർ സംയോജിപ്പിക്കാൻ അനുവദിക്കുന്നു.","The system provides a digital identity to each beneficiary through a digital card, and allows the call centre to be integrated with the technology centre."
The system generates automated alerts to the critical last-mile beneficiaries.,അവസാനത്തെ മൈൽ ഗുണഭോക്താക്കൾക്ക് സിസ്റ്റം യാന്ത്രിക അലേർട്ടുകൾ സൃഷ്ടിക്കുന്നു.,The system generates automated alerts for the last mile beneficiaries.
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.",ഗുണഭോക്താക്കളുടെയും ഡ്യൂട്ടി ചുമക്കുന്നവരുടെയും തത്സമയ ഹാജർ രേഖപ്പെടുത്തുന്നതിലൂടെ ഡെലിവറി സിസ്റ്റത്തിന്റെ കാര്യക്ഷമമായ ഓഡിറ്റ് ഇത് ഉറപ്പാക്കുന്നു.,This ensures an efficient audit of the delivery system by recording the real time attendance of the beneficiaries and the burden bearers.
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.","അത്തരമൊരു ശക്തമായ ഡിജിറ്റൽ ടെക്നോളജി പ്ലാറ്റ്ഫോമും മാനേജുമെന്റ് ഇൻഫർമേഷൻ സിസ്റ്റവും ദൌത്യത്തെ കാര്യക്ഷമമായി അളക്കാൻ സഹായിക്കും, അതുവഴി കാര്യമായ പോസിറ്റീവ് ഇംപാക്ട് സൃഷ്ടിക്കുകയും രേഖപ്പെടുത്തുകയും ചെയ്യും.","Such a strong digital technology platform and management information system will help in effectively measuring the mission, thereby creating a significant positive impact and recording."
Weight should be between 0.90 to 58,ഭാരം 0.90 ത്തിനും 58 നും ഇടയിൽ ആയിരിക്കണം,Weight should be between 0.90 to 58
MPIN can be easily reset by any AWW/AWC user.,ഏത് AWW/ AWC ഉപയോക്താവിനും എളുപ്പത്തിൽ പുനഃ സജ്ജമാക്കാൻ കഴിയും.,Any AWW / AWC user can easily be reset
"You are required to click on Forgot MPIN, and enter your registered mobile number.","നിങ്ങൾ മറന്ന പമ്പ്ൽ ക്ലിക്കുചെയ്യേണ്ടതുണ്ട്, കൂടാതെ നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പർ നൽകുക.",You need to click on the forgotten pump and enter your registered mobile number.
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,"നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പറിൽ നിങ്ങൾക്ക് OTP ലഭിക്കും, കൂടാതെ നിങ്ങളുടെ എംപിൻ എളുപ്പത്തിൽ പുനഃ സജ്ജമാക്കാനും കഴിയും.",You will get the OTP on your registered mobile number and can also reset your MP easily.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,അങ്കണവാടി ജീവനക്കാരുടെ പ്രയത്നത്തിന്റെ പ്രതിഫലനത്തോടൊപ്പം സേവനങ്ങൾ കാര്യക്ഷമമായി എത്തിക്കുന്നതിനുള്ള ഒരു തൊഴിൽ സഹായമാണ് പോഷൻ ട്രാക്കർ.,POSHAN tracker is a professional help for effective delivery of services along with a reflection of the efforts of Anganwadi workers.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,"പോഷൻ അഭിയാന് കീഴിലുള്ള നിർണായകവും ഗുണഭോക്താക്കളെ കേന്ദ്രീകരിച്ചുള്ളതുമായ സേവന ഡെലിവറി ആപ്ലിക്കേഷനാണിത്, ഇത് അനലിറ്റിക്സിനൊപ്പം തത്സമയ ഡാറ്റ പ്രോത്സാഹിപ്പിക്കും","This is a critical and beneficiary centric service delivery application under POSHAN Abhiyaan, which will promote real-time data addition along with analytics"
Please enter valid Date of Birth,സാധുവായ ജനനത്തീയതി നൽകുക,Enter a valid date of birth
Who is eligible for additional supplementary food?,അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് ആർക്കാണ് അർഹത?,Who is eligible for additional supplementary food?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","അത്തരം മാറ്റങ്ങളെക്കുറിച്ച് നിങ്ങളെ പ്രത്യേകമായി അറിയിക്കാതെ തന്നെ, ഈ നിബന്ധനകളുടെ ഏതെങ്കിലും ഭാഗം എപ്പോൾ വേണമെങ്കിലും മാറ്റാനോ പരിഷ്ക്കരിക്കാനോ ചേർക്കാനോ നീക്കം ചെയ്യാനോ ഉള്ള നിരുപാധിക അവകാശം ഞങ്ങളിൽ നിക്ഷിപ്തമാണ്.","Without specifically informing you about such changes, it is our prerogative to modify, add or delete any part of these provisions at any time."
Any changes or updates will be effective immediately.,എന്തെങ്കിലും മാറ്റങ്ങളോ അപ്ഡേറ്റുകളോ ഉടനടി പ്രാബല്യത്തിൽ വരും.,Any changes or updates will come into effect immediately.
You take the responsibility to check these Terms of Use periodically for changes.,മാറ്റങ്ങൾക്കായി കാലാകാലങ്ങളിൽ ഈ ഉപയോഗ നിബന്ധനകൾ പരിശോധിക്കുന്നതിനുള്ള ഉത്തരവാദിത്തം നിങ്ങൾ ഏറ്റെടുക്കുന്നു.,You assume the responsibility to examine these terms of use from time to time for changes.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,അത്തരം പുനരവലോകനത്തിനു ശേഷമുള്ള നിങ്ങളുടെ പ്ലാറ്റ്ഫോം തുടർച്ചയായി ഉപയോഗിക്കുന്നത് പരിഷ്കരിച്ച നിബന്ധനകൾ അംഗീകരിക്കുന്നതാണ്.,Consistent use of your platform after such review will be accepted under the revised terms.
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,മേൽപ്പറഞ്ഞ രണ്ട് കേസുകളിലും ഏതെങ്കിലും എഒപ്പംഒപ്പം ചേർക്കാനോ / എഡിറ്റുചെയ്യാനോ / സജീവമാക്കാനോ / നിർജ്ജീവമാക്കാനോ സ്റ്റേറ്റ് നോഡൽ ഓഫീസർമാർക്ക് അധികാരമുണ്ട്.,The State Nodal Officers are empowered to co-ordinate / edit / activate / deactivate any of the above two cases.
How many different types of reports can be generated over Poshan Tracker Dashboard?,പോഷൻ ട്രാക്കർ ഡാഷ്ബോർഡിൽ എത്ര വ്യത്യസ്ത തരം റിപ്പോർട്ടുകൾ സൃഷ്ടിക്കാൻ കഴിയും?,How many different types of reports can be generated on the Potion Tracker Dashboard?
How to revive your health if you are Severely Wasted (SAM),നിങ്ങൾ ഗുരുതരമായി പാഴായെങ്കിൽ (SAM) നിങ്ങളുടെ ആരോഗ്യം എങ്ങനെ പുനരുജ്ജീവിപ്പിക്കാം,How to revive your health if you are seriously ill (SAM)
"See assessment charts for Stunted, Wasted and Underweight parameters","മുരടിച്ച, പാഴായ, ഭാരം കുറഞ്ഞ പാരാമീറ്ററുകൾക്കായുള്ള മൂല്യനിർണ്ണയ ചാർട്ടുകൾ കാണുക","See Appraisal charts for rough, redundant, and lightweight parameters"
Resources for growth monitoring and general awareness,വളർച്ചാ നിരീക്ഷണത്തിനും പൊതുഅവബോധത്തിനുമുള്ള വിഭവങ്ങൾ,Resources for Growth Monitoring and Public Awareness
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,ഒരു പ്രത്യേക അംഗൻവാടി കേന്ദ്രത്തിൽ നിലവിലുള്ള അടിസ്ഥാന സ to കര്യങ്ങളുമായി ബന്ധപ്പെട്ട വിശദാംശങ്ങൾ നൽകുന്നതിന് എഒപ്പംഒപ്പം ആവശ്യമാണ്.,It is also necessary to provide details of the basic amenities available in a particular Anganwadi Centre.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ഘടന, അടിസ്ഥാന സ, കര്യങ്ങൾ, സൌകര്യങ്ങൾ, ശുചിത്വം, കുടിവെള്ളം എന്നിവ ഇതിൽ ഉൾപ്പെടുന്നു.","This includes infrastructure, basic amenities, facilities, sanitation, drinking water etc."
Lactating mothers who received Take Home Ration (THR),ടേക്ക് ഹോം റേഷൻ (THR) ലഭിച്ച മുലയൂട്ടുന്ന അമ്മമാർ,Breastfeeding mothers receiving Take Home Ration (THR)
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","അത്തരം മാറ്റങ്ങളെക്കുറിച്ച് നിങ്ങളെ പ്രത്യേകമായി അറിയിക്കാതെ തന്നെ, ഈ സ്വകാര്യതാ നയത്തിന്റെ ഏതെങ്കിലും ഭാഗം എപ്പോൾ വേണമെങ്കിലും മാറ്റുന്നതിനും പരിഷ്ക്കരിക്കുന്നതിനും ചേർക്കുന്നതിനും നീക്കം ചെയ്യുന്നതിനുമുള്ള നിരുപാധികമായ അവകാശം Poshan Tracker-ൽ നിക്ഷിപ്തമാണ്.","Without specifically notifying you about such changes, any part of this privacy policy has the inalienable right to change, modify, add and delete at any time in the Poshan Tracker."
Any changes or updates will be effective immediately.,എന്തെങ്കിലും മാറ്റങ്ങളോ അപ്ഡേറ്റുകളോ ഉടനടി പ്രാബല്യത്തിൽ വരും.,Any changes or updates will come into effect immediately.
You should review this Privacy Policy regularly for changes.,മാറ്റങ്ങൾക്കായി നിങ്ങൾ ഈ സ്വകാര്യതാ നയം പതിവായി അവലോകനം ചെയ്യണം.,You must regularly review this privacy policy for changes.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","സിസ്റ്റത്തിലെ ഒരു അറിയിപ്പ് പോലെ, ഈ സ്വകാര്യതാ നയത്തിലെ എന്തെങ്കിലും ഭൌതിക മാറ്റങ്ങളെ കുറിച്ച് എല്ലാ ഉപയോക്താക്കളെയും പൊതുവായി അറിയിക്കുന്നതിന് വാണിജ്യപരമായി ന്യായമായ ശ്രമങ്ങൾ ഞങ്ങൾ ഉപയോഗിക്കും.","Like a notification on the system, we will use commercially reasonable efforts to publicly inform all users about any physical changes to this privacy policy."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","എന്നിരുന്നാലും, സിസ്റ്റത്തിന്റെ ഒരു ഉപയോക്താവെന്ന നിലയിൽ, എന്തെങ്കിലും മാറ്റങ്ങൾക്കായി നിങ്ങൾ പതിവായി സ്വകാര്യതാ നയം പരിശോധിക്കണം.","However, as a user of the system, you must regularly check the privacy policy for any changes."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","ഈ സ്വകാര്യതാ നയത്തിന്റെ പ്രാബല്യത്തിലുള്ള തീയതിയെ പ്രതിഫലിപ്പിക്കുന്ന ഈ സ്വകാര്യതാ നയത്തിന്റെ മുകളിലുള്ള ""അവസാനം അപ്ഡേറ്റ് ചെയ്ത"" തീയതിയും ഞങ്ങൾ അപ്ഡേറ്റ് ചെയ്യും.","""We will also update the"" ""last updated"" ""date on top of this Privacy Policy, reflecting the date on which this Privacy Policy comes into effect."""
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,പുതിയ സ്വകാര്യതാ നയത്തിന്റെ തീയതിക്ക് ശേഷമുള്ള നിങ്ങളുടെ തുടർച്ചയായ ആക്സസ് അല്ലെങ്കിൽ സിസ്റ്റത്തിന്റെ ഉപയോഗം പുതിയ സ്വകാര്യതാ നയം നിങ്ങൾ അംഗീകരിക്കുന്നു.,You accept the new privacy policy because of your continued access or system usage after the date of the new privacy policy.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","നിങ്ങൾ പുതിയ സ്വകാര്യതാ നയം അംഗീകരിക്കുന്നില്ലെങ്കിൽ, നിങ്ങൾ സിസ്റ്റം ആക്സസ് ചെയ്യുന്നത് കൂടാതെ/അല്ലെങ്കിൽ ഉപയോഗിക്കുന്നത് നിർത്തണം.","If you do not approve the new privacy policy, you should stop accessing the system and / or using it."
What is the eligibility of a beneficiary?,ഒരു ഗുണഭോക്താവിന്റെ യോഗ്യത എന്താണ്?,What is the eligibility of a beneficiary?
"No, Poshan Tracker is available only for Android version","ഇല്ല, പോഷൻ ട്രാക്കർ പതിപ്പിന് മാത്രം ലഭ്യമാണ്.","No, the Potion Tracker version is only available."
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. നഷ്ടപരിഹാരവും ബാധ്യതയുടെ പരിമിതിയും,XV. Compensation and limitation of liability
Growth monitoring report for all health indicators,എല്ലാ ആരോഗ്യ സൂചകങ്ങൾക്കുമുള്ള വളർച്ചാ നിരീക്ഷണ റിപ്പോർട്ട്,Growth Monitoring Report for all Health Indicators
Take Home Ration (THR) given in last 30 days,കഴിഞ്ഞ 30 ദിവസത്തിനുള്ളിൽ നൽകിയ ഹോം റേഷൻ (THR) എടുക്കുക,Take Home Ration (THR) issued in last 30 days
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,WHO ചൈൽഡ് ഗ്രോത്ത് സ്റ്റാൻഡേർഡ് മീഡിയനേക്കാൾ താഴെയുള്ള രണ്ട് സ്റ്റാൻഡേർഡ് ഡീവിയേഷനുകളിൽ പ്രായത്തിനനുസരിച്ചുള്ള ഉയരം ഉണ്ടെങ്കിൽ കുട്ടികളെ മുരടിച്ചവരായി നിർവചിക്കുന്നു,The WHO defines stunted children as having age appropriate height in two standard divisions below the Child Growth Standard Media
What is the purpose of Launching Poshan Tracker?,പോഷൻ ട്രാക്കർ സമാരംഭിക്കുന്നതിന്റെ ഉദ്ദേശ്യം എന്താണ്?,What is the purpose of launching Potion Tracker?
"As a registered user, you have the right to access your profile at any time.","ഒരു രജിസ്റ്റർ ചെയ്ത ഉപയോക്താവ് എന്ന നിലയിൽ, ഏത് സമയത്തും നിങ്ങളുടെ പ്രൊഫൈൽ ആക്സസ് ചെയ്യാനുള്ള അവകാശം നിങ്ങൾക്കുണ്ട്.","As a registered user, you have the right to access your profile at any time."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","എന്നിരുന്നാലും, കാലാകാലങ്ങളിൽ പോഷൻ ട്രാക്കർ സിസ്റ്റം നിർദ്ദേശിക്കുന്ന മാറ്റങ്ങൾ മാത്രമേ ചെയ്യാൻ കഴിയൂ.","However, from time to time only the changes suggested by the Potion Tracker System can be made."
You cannot manage the communications that you receive from us or how you receive them.,ഞങ്ങളിൽ നിന്ന് നിങ്ങൾക്ക് ലഭിക്കുന്ന ആശയവിനിമയങ്ങളോ അവ എങ്ങനെ സ്വീകരിക്കുന്നുവെന്നോ നിങ്ങൾക്ക് മാനേജ് ചെയ്യാൻ കഴിയില്ല.,You cannot manage the communications that you get from us or how you receive them.
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. നിയമം, മൂന്നാം കക്ഷി അവകാശങ്ങൾ, മറ്റ് സേവന നിബന്ധനകൾ എന്നിവ പാലിക്കൽ","XIII. Compliance of laws, third party rights and other service conditions."
"repeated infection, and inadequate psychosocial stimulation","ആവർത്തിച്ചുള്ള അണുബാധ, അപര്യാപ്തമായ മാനസിക സാമൂഹിക ഉത്തേജനം",Repeated infections and inadequate psycho-social stimulation
Beneficiary migration from one AWC to another AWC,ഗുണഭോക്താവ് ഒരു AWC ൽ നിന്നും മറ്റൊരു AWC ലേക്ക് കുടിയേറി,Beneficiary migrates from one AWC to another AWC
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","പോഷൻ അഭിയാൻ (02 ഫെബ്രുവരി, 2021) ന് കീഴിലുള്ള ഐസിടി പ്ലാറ്റ്ഫോമിലെ പരിശീലനം","Training on ICT Platform under POSHAN Abhiyaan (2nd February, 2021)"
You may browse the Site without registering for an account.,ഒരു അക്കൌണ്ടിനായി രജിസ്റ്റർ ചെയ്യാതെ തന്നെ നിങ്ങൾക്ക് സൈറ്റ് ബ്രൌസ് ചെയ്യാം.,You can browse the site without registering for an account.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","സൈറ്റ് വാഗ്ദാനം ചെയ്യുന്ന ചില സവിശേഷതകളോ സേവനങ്ങളോ ഉപയോഗിക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുവെങ്കിൽ, നിങ്ങളുടെ മൊബൈൽ നമ്പർ ഉപയോഗിച്ച് ഒരു അക്കൌണ്ടിനായി നിങ്ങൾ രജിസ്റ്റർ ചെയ്യേണ്ടതുണ്ട്.","If you wish to use some of the features or services offered by the site, you need to register for an account using your mobile number."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,നിങ്ങളുടെ സ്വകാര്യ വിവരങ്ങളുടെയും രജിസ്ട്രേഷന്റെയും രഹസ്യസ്വഭാവം കാത്തുസൂക്ഷിക്കുന്നതിനും ഈ വിവരങ്ങൾ സുരക്ഷിതമായി സൂക്ഷിക്കുന്നതിൽ നിങ്ങൾ പരാജയപ്പെടുന്നതിന്റെ ഫലമായുണ്ടാകുന്ന എല്ലാ പ്രവർത്തനങ്ങളുടെയും ഉത്തരവാദിത്തം നിങ്ങൾക്കാണ്.,"You are responsible for maintaining the confidentiality of your personal information and registration, and for all actions that result from your failure to keep this information safe."
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,നിങ്ങളുടെ രജിസ്ട്രേഷനോ മൊബൈൽ നമ്പറോ രഹസ്യമായി സൂക്ഷിക്കുംനിങ്ങൾ അത് ഏറ്റെടുക്കുകഃനിങ്ങളുടെ അക്കൌണ്ട് വഴി അവരുടെ രേഖകൾ സൃഷ്ടിക്കുന്നതിന് ബന്ധപ്പെട്ട വ്യക്തികളിൽ നിന്ന് നിങ്ങൾ സമ്മതം നേടിയിട്ടുണ്ട്.,Your registration or mobile number will be kept confidential you will take over: you have obtained the consent of the concerned persons to create their documents through your account.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,നിങ്ങളുടെ അക്കൌണ്ടിലോ മൊബൈൽ നമ്പറിലോ ആ വ്യക്തിയായി ആൾമാറാട്ടം നടത്തുക എന്ന ഉദ്ദേശ്യത്തോടെ മറ്റൊരു വ്യക്തിയുടെ പേര് ഉൾപ്പെടുത്തരുത്.,Do not include the name of another person with the intention of impersonating that person in your account or mobile number.
You shall not use another user's account without their permission.,മറ്റൊരു ഉപയോക്താവിന്റെ അനുമതി കൂടാതെ അവരുടെ അക്കൌണ്ട് നിങ്ങൾ ഉപയോഗിക്കരുത്.,Do not use the account of another user without their permission.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.","നിങ്ങളുടെ അക്കൌണ്ടിന്റെ ഏതെങ്കിലും അനധികൃത ഉപയോഗമോ അക്കൌണ്ടുമായി ബന്ധപ്പെട്ട മറ്റ് സുരക്ഷാ ലംഘനമോ കണ്ടെത്തിയാൽ, നിങ്ങൾ ഉടൻ ഞങ്ങളെ രേഖാമൂലം അറിയിക്കും.","If any unauthorized use of your account or any other security breach related to your account is detected, you will immediately inform us in writing."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",നിങ്ങളുടെ അക്കൌണ്ട് മറ്റൊരാളുടെ അവകാശങ്ങൾ ലംഘിക്കുകയോ ഞങ്ങളുടെ നയങ്ങൾ ലംഘിക്കുകയോ ചെയ്യുന്നതായി ഞങ്ങൾക്ക് പരാതി ലഭിച്ചാൽ ഞങ്ങൾ നിങ്ങളുടെ അക്കൌണ്ട് റദ്ദാക്കുകയോ ബ്ലോക്ക് ചെയ്യുകയോ ചെയ്യാം.,"If we receive a complaint that your account is violating the rights of another person or violating our policies, we can cancel or block your account."
