eng,or,indic_trans_translated
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ଦାୟିତ୍ବ ର ସୀମା ଏବଂ ସୀମିତତା,Limitation and Limitation of Liabilities
Growth monitoring report for all health indicators,ସମସ୍ତ ସ୍ୱାସ୍ଥ୍ୟ ସୂଚକ ପାଇଁ ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ରିପୋର୍ଟ,Growth Monitoring Report for all Health Indicators
Take Home Ration (THR) given in last 30 days,ବିଗତ 30 ଦିନ ମଧ୍ୟରେ ଦିଆଯାଇଥିବା ରାସନ୍ (THR) ଘରକୁ ନେଇଯାଆନ୍ତୁ,Take Home Ration (THR) delivered in last 30 days
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,"WHO ଶିଶୁ ଅଭିବୃଦ୍ଧି ମାନାଙ୍କ ତଳେ ଯଦି ସେମାନଙ୍କର ଉଚ୍ଚତା-ବୟସ ଦୁଇଟି ଷ୍ଟାଣ୍ଡାର୍ଡ ବିଚ୍ଛିନ୍ନତାଠାରୁ ଅଧିକ ହୁଏ, ତେବେ ପିଲାମାନେ ଷ୍ଟଣ୍ଟ୍ ଭାବରେ ବ୍ୟାଖ୍ୟା କରାଯାଇଥାଏ |",Children are defined as stunted if their height is greater than two standard separations below the WHO standards of child development.
What is the purpose of Launching Poshan Tracker?,ପୋଷନ୍ ଟ୍ରାକର୍ ଆରମ୍ଭ କରିବାର ଉଦ୍ଦେଶ୍ୟ କଣ?,What is the purpose of launching Poshan Tracker
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. ନିୟମ, ତୃତୀୟ ପାର୍ଟି ଅଧିକାର ଏବଂ ସେବାଗୁଡିକର ଅନ୍ୟାନ୍ୟ ସର୍ତ୍ତାବଳୀ ସହିତ ସମନ୍ୱୟ","Coordination with Rules, Third Party Rights and other Terms and Conditions of Service"
"repeated infection, and inadequate psychosocial stimulation","ବାରମ୍ବାର ସଂକ୍ରମଣ, ଏବଂ ପର୍ଯ୍ୟାପ୍ତ ମନୋବିଜ୍ଞାନ ଉତ୍ସାହ |","Frequent infections, and adequate psychological stimulation."
Beneficiary migration from one AWC to another AWC,ହିତାଧିକାରୀ ଗୋଟିଏ ଏଡବ୍ଲୁସିରୁ ଅନ୍ୟ ଏକ ଏଡବ୍ଲୁସିକୁ ସ୍ଥାନାନ୍ତର,Transfer of beneficiary from one AWC to another AWC
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","ପୋଷନ୍ ଅଭିଯାନ ଅନ୍ତର୍ଗତରେ ଆଇସିଟି ପ୍ଲାଟଫର୍ମ ଉପରେ ପ୍ରଶିକ୍ଷଣ (02 ଫେବୃଆରୀ, 2021)","Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ 22 ଗୋଟି ବିଭିନ୍ନ ଭାଷାରେ ଉପଲବ୍ଧ ।ଉପଲବ୍ଧ ଥିବା ବିଭିନ୍ନ ଭାଷାଗୁଡିକ ହେଲେଃଇଂରାଜୀହିନ୍ଦୀଗୁଜୁରାତିପଞ୍ଜାବୀମରାଠୀବଙ୍ଗଳାକନ୍ନଡତାମିଲ୍ତେଲୁଗୁମାଲୟାଲମ୍ଓଡିଆଆସାମୀNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,"POSHAN Tracker App is available in 22 different languages: English, Hindi, Gujarati, Punjabi, Marathi, Bangla, Kannada, Tamil, Telugu, Malayalam, Odiya, Assamese, Nepali, Konkani, Sindhi, Maithili, SanthaliUrduKashmiri"
How to Login in Poshan Tracker App?,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ରେ କିପରି ଭାବେ ଲଗ୍ଇନ୍ କରିପାରିବେ?,How to login to the POSHAN Tracker App
Height and weight of child has not been measured,ଶିଶୁର ଉଚ୍ଚତା ଏବଂ ଓଜନ ମାପ କରାଯାଇ ନାହିଁ,The child's height and weight were not measured
Calculator to measure the child growth based on the WHO Child Growth Standards.,WHO ଶିଶୁ ଅଭିବୃଦ୍ଧି ମାନାଙ୍କ ଉପରେ ଆଧାର କରି ଶିଶୁର ଅଭିବୃଦ୍ଧି ମାପିବା ପାଇଁ କାଲ୍କୁଲେଟର |,Calculator to measure child growth based on WHO Child Development Index
TAKE HOME RATION (THR) GIVEN TODAY,ଆଜି ଦିଆଯାଇଥିବା ରାସନ୍ (THR) ଘରକୁ ନେଇଯାଆନ୍ତୁ,Carry home the given ration (THR) today
A beneficiary is eligible for THR for at least 21 days in a month.,ଜଣେ ହିତାଧିକାରୀ ଏକ ମାସରେ ଅତି କମ୍ ରେ 21 ଦିନ THR ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,A beneficiary is eligible for THR for a minimum period of 21 days in a month.
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. ସର୍ତ୍ତାବଳୀରେ ଭବିଷ୍ୟତ ପରିବର୍ତ୍ତନ ବିଷୟରେ ବିଜ୍ଞପ୍ତିଃ,Notifications on future changes in the Terms of Reference:
Planning And Organising Community Based Events At AWC,AWC ରେ ସମ୍ପ୍ରଦାୟ ଭିତ୍ତିକ ଘଟଣାଗୁଡିକର ଯୋଜନା ଏବଂ ଆୟୋଜନ,Planning and organization of community based events at AWC
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to Login Step 1 - Click on Poshan Tracker Website https: / / posttracker.gov.in.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,Step 2 - Enter your registered mobile number and pre-set 4 digit MPIN.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,ଯଦି ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନେ ମୋବାଇଲ୍ ନମ୍ବର ମାଧ୍ୟମରେ ପଞ୍ଜୀକରଣ କରିବାରେ ଅସମର୍ଥ ତେବେ ସେମାନେ ଆପରେ କିପରି ଭାବେ ସାଇନ୍ ଅପ୍ କରିପାରିବେ?,"If AWWs are unable to register through mobile number, how can they sign up on the app"
Poshan Tracker adds new Reports feature,ପୋଷଣ ଟ୍ରାକର୍ ନୂତନ ରିପୋର୍ଟ୍ ବୈଶିଷ୍ଟ୍ୟ ଯୋଡିଥାଏ,New report adds features to the nutrition tracker
General Awareness about preventing illness in Children,ପିଲାମାନଙ୍କଠାରେ ରୋଗ ରୋକିବା ବିଷୟରେ ସାଧାରଣ ସଚେତନତା,General Awareness on Preventing Diseases in Children
2. HOW WE USE PERSONAL INFORMATION,2. ଆମେ କିପରି ବ୍ୟକ୍ତିଗତ ସୂଚନା ବ୍ୟବହାର କରୁ,How do we use personal information?
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","""The following are the Terms of Service ("" ""Terms"" "") that govern your use of the Swasth Balak Balika Spardha Platform hosted at https: / / posttracker."""
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","""and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the"" ""site"" "")."""
Please provide your mobile number and a ticket number.,ଦୟାକରି ଆପଣଙ୍କର ମୋବାଇଲ୍ ନମ୍ବର ଏବଂ ଏକ ଟିକେଟ୍ ନମ୍ବର ପ୍ରଦାନ କରନ୍ତୁ |,Please provide your mobile number and one ticket number.
Please contact your respective Anganwadi worker.,ଦୟାକରି ଆପଣଙ୍କର ସମ୍ପୃକ୍ତ ଅଙ୍ଗନୱାଡି କର୍ମୀ ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |,Please get in touch with your concerned Anganwadi worker.
SAM Children under 5 years who received Supplementary Nutrition,SAM 5 ବର୍ଷରୁ କମ୍ ପିଲାମାନେ ଯେଉଁମାନେ ସପ୍ଲିମେଣ୍ଟାରୀ ପୁଷ୍ଟିକର ଗ୍ରହଣ କରିଥିଲେ,SAM Children under 5 years of age who took supplementary nutrition
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1ପେଣ୍ଟାଭାଲାଣ୍ଟ-1ରୋଟାଭାଇରସ୍ ଟିକା (RVV) -1ନିଷ୍କ୍ରିୟ ପୋଲିଓ ଭ୍ୟାକ୍ସିନ୍ (fIPV) -1 ର ଭଗ୍ନାଂଶ ଡୋଜ୍ନିମୋୋକୋକାଲ୍ କନଜୁଗେଟ୍ ଭ୍ୟାକ୍ସିନ୍ (PCV) -1,OPV-1 Pentavalant-1 Rotavirus vaccine (RVV) -1 Fragment of Inactivated Polio Vaccine (FIPV) -1 Diagnostic Conjugate Vaccine (PCV) -1
Height should be between 38 to 150,ଉଚ୍ଚତା 38 ରୁ 150 ମଧ୍ୟରେ ହେବା ଉଚିତ୍,The height should be between 38 and 150 feet
How to contact Poshan Tracker Team?,ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ଟିମ୍ ସହିତ କିପରି ଯୋଗାଯୋଗ କରିବେ?,How to contact the Page Tracker Team
Take Home Ration (THR) Given Today,ଆଜି ଦିଆଯାଇଥିବା ରାସନ୍ (THR) ଘରକୁ ନେଇଯାଆନ୍ତୁ,Carry home the given ration (THR) today
How many different forms are there in Poshan Tracker App?,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ରେ କେତେଗୋଟି ଫର୍ମ ରହିଥାଏ?,How many forms are there in the Poshan Tracker App
There are 7 different types of forms for beneficiaries.,ହିତାଧିକାରୀଙ୍କ ପାଇଁ 7ଟି ବିଭିନ୍ନ ପ୍ରକାରର ଫର୍ମ ରହିଛି ।,There are 7 different types of forms for the beneficiaries.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),ଏଥିରେ ଅନ୍ତର୍ଭୁକ୍ତ ଅଟନ୍ତିଃସ୍ତନପାନ କରାଉଥିବା ମାଗର୍ଭବତୀ ମହିଳା0-6 ମାସର ଶିଶୁ6 ମାସରୁ 3 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତର ଶିଶୁ3 ବର୍ଷରୁ 6 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତର ଶିଶୁକିଶୋରୀ ବାଳିକା (11 ବର୍ଷ -19 ବର୍ଷ),These include: Pregnant women (0-6 months) Children (6-3 years) Adolescent girls (11-6 years)
Shibpur I C D S Project,ଶିବପୁର ଆଇ ସି ଡି ଏସ୍ ପ୍ରୋଜେକ୍ଟ,Shibpur ICDS Project
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home","ନିକଟରେ ଏକରୁ ତିନି ମାସ ମଧ୍ୟରେ, କୌଣସି ଅଙ୍ଗନୱାଡି କର୍ମୀ ହିତାଧୀକାରୀଙ୍କ ଗୃହକୁ ପରିଦର୍ଶନ କରିନାହାଁନ୍ତି","In the recent past one to three months, no Anganwadi worker has visited the houses of the beneficiaries"
Please enter Weight greater than 0.49 and less than 40.01,ଦୟାକରି 0.49 ରୁ ଅଧିକ ଓଜନ 40.01 ରୁ କମ୍ ପ୍ରବେଶ କରନ୍ତୁ |,Please enter above 0.49 and below 40.01.
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https: / / posttracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,In or by downloading the Poshan Tracker App.
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,ଏମ୍ପିଆଇଏନ୍ ହେଉଛି ଏକ 4 ଅଙ୍କ ବିଶିଷ୍ଟ ପାସକୋଡ୍ ଯାହା ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ରେ ପଞ୍ଜୀକରଣ କରିବା ସମୟରେ ଅଙ୍ଗନୱାଡି କର୍ମୀଙ୍କ ଦ୍ୱାରା ସେଟ୍ ହୋଇଛି ।,MPIN is a 4-digit passcode that has been set by Anganwadi workers while registering on the Poshan Tracker App.
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)","ସ୍ମାର୍ଟ ଫୋନ୍ ଏବଂ ଯାନ୍ତ୍ରିକ ସୁସଙ୍ଗତା ପରୀକ୍ଷଣର ବିଶେଷତା (02 ଫେବୃଆରୀ, 2021)","Features of Smart Phones and Mechanical Compatibility Testing (February 02, 2021)"
Request for child's height and weight measurement,ଶିଶୁର ଉଚ୍ଚତା ଏବଂ ଓଜନ ମାପିବା ପାଇଁ ଅନୁରୋଧ,Child's height and weight measurement request
Children (6 months - 3 years),ପିଲାମାନେ (6 ମାସ - 3 ବର୍ଷ),Children (6 months - 3 years)
"Result couldn't be fetch, please enter valid data","ଫଳାଫଳ ଆଣିବା ସମ୍ଭବ ନୁହେଁ, ଦୟାକରି ବୈଧ ତଥ୍ୟ ପ୍ରବେଶ କରନ୍ତୁ |","Unable to fetch results, please enter valid data."
Central Golaghat I. C. D. S. Project,ସେଣ୍ଟ୍ରାଲ ଗୋଲାଘାଟ ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ,Central Golaghat ICDS Project
