eng,kn,indic_trans_translated
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು / ಎಡಬ್ಲ್ಯೂಸಿ ಗಳನ್ನು ನೋಡಲ್ ಮಟ್ಟದ ಅಧಿಕಾರಿ ಮಾತ್ರ ಸೇರಿಸಬಹುದು.ಕ್ರಮಾನುಗತದಲ್ಲಿ ಮೇಲಿನ ಯಾರಾದರೂ ರಾಷ್ಟ್ರಮಟ್ಟದ ಬಳಕೆದಾರರು ರಾಜ್ಯ, ಜಿಲ್ಲೆ, ಯೋಜನೆ ಮತ್ತು ವಲಯ ಮಟ್ಟದ ಬಳಕೆದಾರರನ್ನು ರಚಿಸಬಹುದು.ರಾಜ್ಯ ಮಟ್ಟದ ಬಳಕೆದಾರರು ಜಿಲ್ಲೆ, ಯೋಜನೆ ಮತ್ತು ವಲಯ ಮಟ್ಟದ ಬಳಕೆದಾರರನ್ನು ರಚಿಸಬಹುದು, ಜಿಲ್ಲಾ ಮಟ್ಟದ ಬಳಕೆದಾರರು ಯೋಜನೆ ಮತ್ತು ವಲಯ ಮಟ್ಟದ ಬಳಕೆದಾರರನ್ನು ರಚಿಸಬಹುದು, ಪ್ರಾಜೆಕ್ಟ್ ಮಟ್ಟದ ಬಳಕೆದಾರರು ವಲಯ ಮಟ್ಟದ ಬಳಕೆದಾರರನ್ನು ರಚಿಸಬಹುದು.","The AWWs / AWCs can be added only by a nodal level officer. in sequential order, any of the above national level users can create state, district, plan and zone level users. State level users can create district, plan and zone level users, district level users can create plan and zone level users, project level users can create zone level users"
Where can I enquire about take home ration?,ಟೇಕ್ ಹೋಮ್ ಪಡಿತರ ಬಗ್ಗೆ ನಾನು ಎಲ್ಲಿ ಕೇಳಬಹುದು?,Where can I ask about Take Home Ration?
We use the information we collect from all our services for the following purposes:,ನಾವು ನಮ್ಮ ಸೇವೆಗಳಿಂದ ಪಡೆದ ಎಲ್ಲಾ ಮಾಹಿತಿಗಳನ್ನು ಕೆಳಕಂಡ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಬಳಸುತ್ತೇವೆಃ,We use all the information we get from our services for the following purposes:
Identification & Referral of Sick Newborn,ಅನಾರೋಗ್ಯ ನವಜಾತ ಶಿಶುವಿನ ಗುರುತಿಸುವಿಕೆ ಮತ್ತು ಉಲ್ಲೇಖ,Identification and Nurturing of Sick Newborn
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. ಥರ್ಡ್ ಪಾರ್ಟಿ ವ್ಯವಸ್ಥೆಗಳಿಂದ ಒದಗಿಸಲಾದ ಡೇಟಾದ ನಿಖರತೆ,XIV. Data accuracy provided by third party systems
Who is eligible for Take Home Ration?,ಟೇಕ್ ಹೋಮ್ ರೇಷನ್ಗೆ ಯಾರು ಅರ್ಹರು?,Who is eligible for Take Home Ration?
Supporting mothers with issues in Breastfeeding,ಸ್ತನ್ಯಪಾನ ಸಮಸ್ಯೆಗಳಿರುವ ತಾಯಂದಿರಿಗೆ ಸಹಾಯ ಮಾಡುವುದು,Helping mothers with breast feeding problems
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ಈ ಪ್ರಸ್ತಾಪಿಸಿದ ವ್ಯವಸ್ತೆಯು ಎಲ್ಲಾ ಎ. ಡಬ್ಲ್ಯು. ಸಿ, ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು ಗಳು ಹಾಗೂ ಫಲಾನುಭವಿಗಳ, ವ್ಯಾಖ್ಯಾನಿಸಿದ ಸೂಚಕಗಳಲ್ಲಿ ನೈಜ ಸಮಯ ಉಸ್ತುವಾರಿ ಮತ್ತು ಜಾಡೀಕರಣವನ್ನು ಸಕ್ರೀಯಗೊಳಿಸಬೇಕು.","This proposed mechanism should enable real time monitoring and decryption of all AWCs, AWWs and beneficiaries, in defined indicators."
Above standards are defined as per given above mentioned age brackets,ಮೇಲಿನ ಮಾನದಂಡಗಳನ್ನು ಮೇಲೆ ನೀಡಲಾದ ವಯಸ್ಸಿನ ಪ್ರಕಾರವಾಗಿ ವ್ಯಾಖ್ಯಾನಿಸಲಾಗಿದೆ,The above criteria have been defined in terms of age as above
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","ಒಬ್ಬ ವ್ಯಕ್ತಿಯು ಕಡಿಮೆ ತೂಕವನ್ನು ಹೊಂದಿದ್ದರೆ, ಅವರ ದೇಹವು ಆರೋಗ್ಯಕರ ಮೂಳೆಗಳು, ಚರ್ಮ ಮತ್ತು ಕೂದಲನ್ನು ನಿರ್ಮಿಸಲು ಅಗತ್ಯವಾದ ಪೋಷಕಾಂಶಗಳನ್ನು ಪಡೆಯದಿರಬಹುದು","If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair"
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,ಆಯಾ ಅಂಗನವಾಡಿ ಕೆಲಸಗಾರನು ಅವನ / ಅವಳ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯ ವಿರುದ್ಧ ಒಟಿಪಿಯನ್ನು ವಿನಂತಿಸುವ ಮೂಲಕ ಎಂಪಿನ್ ಅನ್ನು ಹೊಂದಿಸಬಹುದು.,The respective Anganwadi Worker can set the MPIN by requesting OTP against his / her mobile number
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","ಮೊಬೈಲ್ ಸಂಖ್ಯೆ ಈಗಾಗಲೇ ಡೇಟಾಬೇಸ್ನಲ್ಲಿ ಇದ್ದರೆ, ಆಯಾ ಅಂಗನವಾಡಿ ವ್ಯಕ್ತಿಯು ನೋಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯಲ್ಲಿ ೪ ಅಂಕೆಗಳ ಒಟಿಪಿ ಸ್ವೀಕರಿಸುತ್ತಾರೆ.","If the mobile number is already in the database, the Anganwadi person will receive a 4-digit OTP on the registered mobile number"
"Post entering the OTP, AWW can easily set customized MPIN.","OTP ಯನ್ನು ನಮೂದಿಸಿದ ನಂತರ,ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು ಕಸ್ಟಮೈಸ್ ಮಾಡಿದ ಎಂಪಿನ್ ಅನ್ನು ಸುಲಭವಾಗಿ ಹೊಂದಿಸಬಹುದು.","After entering the OTP, the AWW customized PIN can be easily set up."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ಇದು ಭಾಗವಹಿಸುವ ಆರೋಗ್ಯ ಪೂರೈಕೆದಾರರೊಂದಿಗೆ ನಿಮ್ಮ ಸಂವಾದವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸುತ್ತದೆ ಮತ್ತು ಅಧಿಕೃತ ಆರೋಗ್ಯ ವೃತ್ತಿಪರರು ಮತ್ತು ಆರೋಗ್ಯ ಪೂರೈಕೆದಾರರಿಂದ ನಿಮ್ಮ ಡಿಜಿಟಲ್ ಲ್ಯಾಬ್ ವರದಿಗಳು, ಪ್ರಿಸ್ಕ್ರಿಪ್ಷನ್ಗಳು ಮತ್ತು ರೋಗನಿರ್ಣಯಗಳನ್ನು ಪಡೆಯಲು ನಿಮಗೆ ಅನುಮತಿಸುತ್ತದೆ.","It will enable your interaction with participating health providers and allow you to receive your digital lab reports, prescriptions and diagnostics from authorized health professionals and health providers"
Our System provides API to Third – Party Sites that may collect your personal information.,ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸಬಹುದಾದ ಥರ್ಡ್ ಪಾರ್ಟಿ ಸೈಟ್ಗಳಿಗೆ ನಮ್ಮ ಸಿಸ್ಟಂ API ಒದಗಿಸುತ್ತದೆ.,Our System API provides third-party sites where your personal information can be collected.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ಅಂತಹ ಮಾಹಿತಿಯ ಸುರಕ್ಷತೆ ಅಥವಾ ಅವರ ಗೌಪ್ಯತೆ ಅಭ್ಯಾಸಗಳು ಅಥವಾ ಥರ್ಡ್ ಪಾರ್ಟಿ ಸೈಟ್ಗಳ ಪರಿವಿಡಿಗೆ ಯಾವುದೇ ರೀತಿಯಲ್ಲಿ ಜವಾಬ್ದಾರನಾಗಿರುವುದಿಲ್ಲ.,Poshan Tracker is in no way responsible for the security of such information or their privacy practices or menu of third party sites.
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,"ಈ ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೇವಾ ಪೂರೈಕೆದಾರರು ಮತ್ತು ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್ಗಳು ನಿಮ್ಮ ಮಾಹಿತಿಯ ಸಂಗ್ರಹಣೆ ಮತ್ತು ಧಾರಣವನ್ನು ನಿಯಂತ್ರಿಸುವ ತಮ್ಮದೇ ಆದ ಗೌಪ್ಯತೆ ನೀತಿಗಳನ್ನು ಹೊಂದಿರಬಹುದು, ಅದಕ್ಕೆ ನೀವು ಒಳಪಟ್ಟಿರಬಹುದು.","These third-party service providers and third-party sites may have their own privacy policies governing the storage and storage of your information, to which you are subjected."
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","ಈ ಗೌಪ್ಯತಾ ನೀತಿಯು ಈ ಥರ್ಡ್-ಪಾರ್ಟಿ ಪೂರೈಕೆದಾರರು ಮತ್ತು ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್ಗಳು ಒದಗಿಸಿದ, ಸಂಗ್ರಹಿಸಿದ ಅಥವಾ ಬಳಸಿದ ಯಾವುದೇ ಮಾಹಿತಿಯನ್ನು ನಿಯಂತ್ರಿಸುವುದಿಲ್ಲ.","This privacy policy does not control any information provided, collected or used by these third-party suppliers and third-party sites."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.",ನಿಮ್ಮ ಮಾಹಿತಿಯ ಸುರಕ್ಷತೆಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ಮೂರನೇ ವ್ಯಕ್ತಿಯ ಸೈಟ್ ಅನ್ನು ನೀವು ಪ್ರವೇಶಿಸಿದಾಗ ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್ನ ಗೌಪ್ಯತೆ ನೀತಿಯನ್ನು ಪರಿಶೀಲಿಸಲು ನಾವು ಶಿಫಾರಸು ಮಾಡುತ್ತೇವೆ.,We recommend you to review the privacy policy of third-party sites when you log into a third party site with regard to your data security.
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,ಹುಡುಕಾಟ ಫಲಿತಾಂಶಗಳಲ್ಲಿ ಅಥವಾ ಯಾವುದೇ ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್ಗಳಲ್ಲಿ ಪ್ರಕಟಿಸಲಾದ ಮಾಹಿತಿಗೆ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಜವಾಬ್ದಾರನಾಗಿರುವುದಿಲ್ಲ ಎಂದು ನೀವು ಒಪ್ಪುತ್ತೀರಿ ಮತ್ತು ಅಂಗೀಕರಿಸಿದ್ದೀರಿ.,You agree and accept that the Potion Tracker is not responsible for the information published in the search results or on any third-party sites
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,ಮೇಲಿನ ಷರತ್ತು 1 ರ ಪ್ರಕಾರ ನಿಮ್ಮೊಂದಿಗೆ SMS ಮೂಲಕ ಸಂವಹನ ನಡೆಸುವ ಉದ್ದೇಶದ ಸಲುವಾಗಿ ನಿಮ್ಮ ಉಲ್ಲೇಖ ID (ಮೊಬೈಲ್ ಸಂಖ್ಯೆ) ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯೊಂದಿಗೆ ಮಾತ್ರ ಸಹ-ಸಂಬಂಧಿತವಾಗಿರುತ್ತದೆ.,"As per Clause 1 above, for the purpose of communicating with you through SMS, your reference ID (mobile number) will be co-related with your personal information only."
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","ಸೈಟ್ಗೆ ಭೇಟಿ ನೀಡುವ ಮೂಲಕ ಅಥವಾ ಬಳಸುವ ಮೂಲಕ, ಕಾಲಕಾಲಕ್ಕೆ ನವೀಕರಿಸಿದ ಈ ನಿಯಮಗಳನ್ನು ನೀವು ಸ್ಪಷ್ಟವಾಗಿ ಒಪ್ಪುತ್ತೀರಿ.","By visiting or using the site, you will clearly agree with these rules which have been updated from time to time."
"If you do not agree with any part of these terms, do not use the site.","ಈ ನಿಯಮಗಳ ಯಾವುದೇ ಭಾಗವನ್ನು ನೀವು ಒಪ್ಪದಿದ್ದರೆ, ಸೈಟ್ ಅನ್ನು ಬಳಸಬೇಡಿ.","If you do not agree with any part of these rules, do not use the site."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,"ಬೈಂಡಿಂಗ್ ಒಪ್ಪಂದವನ್ನು ರೂಪಿಸಲು ನೀವು ಕಾನೂನುಬದ್ಧ ವಯಸ್ಸನ್ನು ಹೊಂದಿಲ್ಲದಿದ್ದರೆ, ನೀವು ಯಾವುದೇ ರೀತಿಯಲ್ಲಿ ಸೈಟ್ ಅನ್ನು ಬಳಸಬಾರದು ಮತ್ತು ನಿಯಮಗಳನ್ನು ಒಪ್ಪಿಕೊಳ್ಳಬಾರದು.","If you do not have a legal age to frame a binding agreement, you should not use the site in any way and accept the rules."
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,ಬ್ಯಾಸಿಲಸ್ ಕ್ಯಾಲ್ಮೆಟ್ ಗೆರಿನ್ (BCG)ಓರಲ್ ಪೋಲಿಯೊ ಲಸಿಕೆ (OPV)-0 ಡೋಸೇಜ್ ಹೆಪಟೈಟಿಸ್ ಬಿ ಬರ್ತ್ ಡೋಸ್ OPV-1T,Bacillus Calmate Gerine (BCG) Oral Polio Vaccine (OPV) - 0 dose hepatitis B birth dose OPV-1T
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",ಸೆಕ್ಷನ್ 1 ರ ಅಡಿಯಲ್ಲಿ ಸಂಗ್ರಹಿಸಲಾದ ಮಾಹಿತಿಯನ್ನು ಫಲಾನುಭವಿಗಳ ಆರೋಗ್ಯವನ್ನು ಸುಗಮಗೊಳಿಸುವ ಉದ್ದೇಶಕ್ಕಾಗಿ ಬಳಸಲಾಗುತ್ತದೆ.,The information collected under Section 1 is used for the purpose of facilitating the health of the beneficiaries
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","ಸಿಸ್ಟಮ್ ಮಾಹಿತಿ/ಡೇಟಾ/ವಿಷಯ ಮತ್ತು ಸಾಮಗ್ರಿಗಳನ್ನು ನವೀಕರಿಸುವುದು, ಸುರಕ್ಷಿತಗೊಳಿಸುವುದು ಮತ್ತು ದೋಷನಿವಾರಣೆ ಮಾಡುವುದು ಸೇರಿದಂತೆ ಬೆಂಬಲ ನೀಡುವುದರ ಜೊತೆಗೆ ನಮ್ಮ ಉತ್ಪನ್ನಗಳನ್ನು ನಾವು ಒದಗಿಸುತ್ತೇವೆ.","We provide our products with support including updating, securing, and troubleshooting of system information / data / content and materials"
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","ನೀವು ಪೋಷನ್ ಟ್ರಾಕರ್ ಸಿಸ್ಟಮ್ ನಲ್ಲಿ ನೋಂದಾಯಿಸಿದಾಗ, ನಿಮ್ಮ ನೊಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ಡೇಟಾಬೇಸ್ ನಲ್ಲಿ ಇರುವ ನಿಮ್ಮ ದಾಖಲೆಯನ್ನು ಹುಡುಕಲು ಉಪಯೋಗಿಸಲಾಗುತ್ತದೆ.","When you register on the POSHAN Tracker System, your registered mobile number will be used to locate your record in the database."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,ಪೋಷನ್ ಟ್ರಾಕರ್ ಸಿಸ್ಟಮ್ ನಲ್ಲಿ ದಾಖಲಾದ ಆರೋಗ್ಯ ಸ್ಥಿತಿಯನ್ನು ಪಡೆಯಲು ಕೂಡ ಇವುಗಳನ್ನು ಬಳಸಲಾಗುವುದು.,They will also be used to capture the health status recorded in the POSHAN tracker system.
Training on ICT Platform under POSHAN Abhiyaan,ಪೋಶನ್ ಅಭಿಯಾನದ ಅಡಿಯಲ್ಲಿ ಐಸಿಟಿ ವೇದಿಕೆಯಲ್ಲಿ ತರಬೇತಿ,Training at ICT Platform under POSHAN Abhiyaan
"Know more about stunting, wasting and underweight","ಕುಂಠಿತ, ಕ್ಷೀಣಿಸುವಿಕೆ ಮತ್ತು ಕಡಿಮೆ ತೂಕದ ಬಗ್ಗೆ ಇನ್ನಷ್ಟು ತಿಳಿಯಿರಿ","Know more about depression, weight loss and weight loss"
What information to be added in AWC forms?,ಎಡಬ್ಲ್ಯೂಸಿ ನಮೂನೆಗಳಲ್ಲಿ ಯಾವ ಮಾಹಿತಿಯನ್ನು ಸೇರಿಸಬೇಕು?,What information should be included in the AWC forms?
How to revive your health if you are Moderately Wasted (MAM),ನೀವು ಮಧ್ಯಮವಾಗಿ ತೂಕ ಹೊಂದಿದ್ದರೆ ನಿಮ್ಮ ಆರೋಗ್ಯವನ್ನು ಹೇಗೆ ಪುನರುತ್ಪಾದಿಸುವುದು (MAM),How to reproduce your health if you are overweight (MAM)
AWC Workers Registered In Last 30 Days,ಎಡಬ್ಲ್ಯೂಸಿ ಕಾರ್ಮಿಕರು ಕಳೆದ ೩೦ ದಿನಗಳಲ್ಲಿ ನೋಂದಾಯಿಸಲಾಗಿದೆ,AWC workers have been registered in the last 30 days
Click on above button to get this App,ಈ ಅಪ್ಲಿಕೇಶನ್ ಪಡೆಯಲು ಮೇಲಿನ ಬಟನ್ ಕ್ಲಿಕ್ ಮಾಡಿ,Click here for downloading the app.
Beneficiaries Registered In Last 30 Days,ಕಳೆದ ೩೦ ದಿನಗಳಲ್ಲಿ ನೋಂದಾಯಿತ ಫಲಾನುಭವಿಗಳು,Registered beneficiaries in last 30 days
Specifications of Smart phone and Technical Compatibility Testing,ಸ್ಮಾರ್ಟ್ ಫೋನ್ ವಿವರಣೆ ಮತ್ತು ತಾಂತ್ರಿಕ ಹೊಂದಾಣಿಕೆ ಪರೀಕ್ಷೆ,Smartphone Detail and Technical Alignment Test
Preparation During Pregnancy - For NewBorn Care & Family Planning,ಗರ್ಭಾವಸ್ಥೆಯ ಸಮಯದಲ್ಲಿ ಸಿದ್ದತೆ - ಶಿಶುಗಳ ಆರೈಕೆಗೆ ಮತ್ತು ಕುಟುಂಬ ಯೋಜನೆ,Preparation during Pregnancy - Infant Care and Family Planning
Stunting is the impaired growth and development that children experience from poor nutrition,ಕುಬ್ಜತೆಯು ಕುಠಿತ  ಪೋಷಣೆಯಿಂದ ಮಕ್ಕಳು ಅನುಭವಿಸುವ ದುರ್ಬಲ ಬೆಳವಣಿಗೆಯಾಗಿದೆ,Malnutrition is one of the most common causes of stunting in children
Children in the age group of 3 years to 6 years,3 ವರ್ಷದಿಂದ 6 ವರ್ಷ ವಯಸ್ಸಿನ ಮಕ್ಕಳು,Children aged 3 to 6 years
What is the eligibility of a beneficiary?,ಫಲಾನುಭವಿಯ ಅರ್ಹತೆ ಏನು?,What is the eligibility of the beneficiary?
Who are the target userbase of Poshan Tracker App?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಆಪ್ಪ್ ನ ಉದ್ದೇಶಿತ ಬಳಕೆದಾರರು ಯಾರು?,Who are the intended users of the POSHAN Tracker App?
Panchayat Raj Institution (PRI) Member or Local Leader,PRI ಸದಸ್ಯ ಅಥವಾ ಸ್ಥಳೀಯ ನಾಯಕರು,PRI members or local leaders
"It often indicates recent and severe weight loss, although it can also persist for a long time","ಇದು ಸಾಮಾನ್ಯವಾಗಿ ಇತ್ತೀಚಿನ ಮತ್ತು ತೀವ್ರ ತೂಕ ನಷ್ಟವನ್ನು ಸೂಚಿಸುತ್ತದೆ, ಆದರೂ ಇದು ದೀರ್ಘಕಾಲದವರೆಗೆ ಇರುತ್ತದೆ","It generally refers to recent and severe weight loss, although it is long lasting"
What is the minimum requirement to install Poshan Tracker App in mobile?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಆಪ್ಪ್ ಅನ್ನು ಮೊಬೈಲ್ನಲ್ಲಿ ಸ್ಥಾಪಿಸಲು ಕನಿಷ್ಟ ಅವಶ್ಯಕತೆಗಳೇನು?,What are the minimum requirements to install the POSHAN Tracker App on mobile?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,ನೀವು ದಾಖಲೆಯಲ್ಲಿ ವಿವರಿಸಿದ ವಿಧಾನಗಳ ಮೂಲಕ ಮಾತ್ರ ಸೈಟ್ ಅನ್ನು ಪ್ರವೇಶಿಸುತ್ತೀರಿ (ಅಥವಾ ಪ್ರವೇಶಿಸಲು ಪ್ರಯತ್ನಿಸುತ್ತೀರಿ) ಮತ್ತು ಈ ಒಪ್ಪಂದದ ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳನ್ನು ಅನುಸರಿಸುತ್ತೀರಿ.,You only log in (or try to log in) to the site through the methods described in the document and comply with the terms and conditions of the agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","ನಿಮಗೆ ಮತ್ತು ನಿಮ್ಮ ಸೈಟ್ನ ಬಳಕೆಗೆ ಅನ್ವಯಿಸುವ ಮತ್ತು ಯಾವುದೇ ಥರ್ಡ್ ಪಾರ್ಟಿ ಹಕ್ಕುಗಳ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರುವ ಎಲ್ಲಾ ಕೇಂದ್ರ ಮತ್ತು ರಾಜ್ಯ ಕಾನೂನುಗಳು, ನಿಯಮಗಳು ಮತ್ತು ನಿಬಂಧನೆಗಳನ್ನು ನೀವು ಅನುಸರಿಸುತ್ತೀರಿ.","You follow all central and state laws, rules and regulations that apply to you and to the use of your site and affect any third party rights."
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balka Spardha by registering through the website https: / / poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.,The app can be downloaded from Google Play Store or Apple App Store.
The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.,ಕೆಳಗೆ ನೀಡಲಾದ ಲಿಂಕ್ https://poshantracker.,The link is given below: https: / / poshantracker.
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in ಮತ್ತು ಇದಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಎಲ್ಲ ಸೈಟ್ಗಳು, ಅವುಗಳ ಅಂಗಸಂಸ್ಥೆಗಳಲ್ಲಿ ನಿಮ್ಮ ಪೋಷನ್ ಟ್ರಾಕರ್ ಸಿಸ್ಟಮ್ ಕೆಳಕಂಡ ಸೇವಾ ನಿಯಮಗಳಿಗೆ ಒಳಪಟ್ಟಿರುತ್ತದೆ (ಒಟ್ಟಾರೆಯಾಗಿ, ""ಸೈಟ್"").","""In and all related sites, your Poshan Tracker System in their subsidiaries will be subject to the following service rules (overall,"" ""site"" "")."""
Clarification regarding Cost of Smart phones,ಸ್ಮಾರ್ಟ್ ಫೋನ್ ಬೆಲೆ ಬಗ್ಗೆ ಸ್ಪಷ್ಟನೆ,Clarification regarding price of the smartphone
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,ದಡಾರ ಹೊಂದಿರುವ ಲಸಿಕೆ (MCV) / ದಡಾರ ಮತ್ತು ರುಬೆಲ್ಲಾ (MR)-1ಜಪಾನೀಸ್ ಎನ್ಸೆಫಾಲಿಟಿಸ್ (ಜೆಇ)-1**ಪಿಸಿವಿ-ಬೂಸ್ಟರ್,Vaccine (MCV) / Measles and Rubella (MR) -1 Japanese Encephalitis (JE) -1 * PCV-Booster
Mobile number need to be validated within a week,ಒಂದು ವಾರದೊಳಗೆ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ಮೌಲ್ಯೀಕರಿಸಬೇಕು,Validation of mobile number to be done within a week
Currently a beneficiary can register by the help of an AWW,ಪ್ರಸ್ತುತ ಫಲಾನುಭವಿಯು AWW ಸಹಾಯದಿಂದ ನೋಂದಾಯಿಸಿಕೊಳ್ಳಬಹುದು,The current beneficiary can register with the help of AWW
Awareness for Lactating Mother Complimentary Feeding for Children,ಶಿಶುಗಳಿಗೆ ಹಾಲುಣಿಸುವ ತಾಯಿಯ ಆಹಾರ ಪೂರಕಗಳ ಬಗ್ಗೆ ಅರಿವು,Awareness of Breastfeeding mother's food supplements
New Poshan Tracker App - CSC-SPV Nodal Person,ಹೊಸ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಲಿಕೇಶನ್ - CSC-SPV ನೋಡಲ್ ವ್ಯಕ್ತಿ,New Poshan Tracker App - CSC - SPV Nodal Person
1.1. Information you provide to us.,1.1. ನೀವು ನಮಗೆ ನೀಡುವ ಮಾಹಿತಿ.,1.1. Information you provide us.
How can one access Poshan Tracker Dashboard?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಡ್ಯಾಶ್ ಬೋರ್ಡ್ ಅನ್ನು ಹೇಗೆ ಪ್ರವೇಶಿಸಬಹುದು?,How to access POSHAN Tracker Dashboard
Prevention of Anemia in children and adolescents girls,ಮಕ್ಕಳಲ್ಲಿ ಮತ್ತು ಹದಿಹರೆಯದ ಹೆಣ್ಣು ಮಕ್ಕಳಲ್ಲಿ ರಕ್ತ ಹೀನತೆ ತಡೆಗಟ್ಟುವುದು,Prevention of anaemia in children and adolescents
Gangarampur Addl. I. C. D. S Project,ಗಂಗಾರಾಮಪುರ ಹೆಚ್ಚುವರಿ  ಐ. ಸಿ. ಡಿ. ಎಸ್. ಯೋಜನೆ,Gangarampur Additional ICDS Project
Can a beneficiary register directly using application.,ಅರ್ಜಿಯನ್ನು ಬಳಸಿಕೊಂಡು ಫಲಾನುಭವಿ ನೇರವಾಗಿ ನೋಂದಾಯಿಸಿಕೊಳ್ಳಬಹುದು.,The beneficiary can directly register using the application.
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯವು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಅರ್ಜಿಯನ್ನು ಹೊರತಂದಿದೆ.,Ministry of Women and Child Development has brought out the Poshan Tracker Application
